"Worm Data","Position (um) of Centroid"
"Sequence","VID00109.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y"
1,0,11425.865517230088,6131.7489293614817,5841.0187077088849,5545.2690252421362,6679.540620232222,4741.3007181798857
2,0.040000000000000001,11422.951430390407,6136.0326929598677,5840.4035245274181,5547.1826210794179,6675.364126978131,4753.3980305552886
3,0.080000000000000002,11422.028531257773,6134.35198332043,5851.123446132834,5542.6817416320509,6676.5261597362978,4752.9604174391989
4,0.12,11421.062287847973,6138.7191600729066,5839.6896969465588,5548.7300016167055,6676.5238785312858,4752.8957677567951
5,0.16,11423.646072924055,6135.4000733947196,5843.5416132483851,5545.5431587971125,6676.3132866575143,4752.8349698839993
6,0.20000000000000001,11422.943361537777,6137.5857211407538,5842.2818822497438,5545.9014706926318,6676.6466503219135,4755.1070463992119
7,0.23999999999999999,11422.942202051321,6136.3190689267149,5842.8695784944011,5544.8735554866598,6677.8594405379354,4748.5740565656824
8,0.28000000000000003,11421.730978207541,6139.643524153631,5843.1316813021904,5548.769534390196,6678.7115229723031,4751.4680037877761
9,0.32000000000000001,11420.462699356905,6141.126983703889,5843.9582427865216,5546.1811200900147,6678.3925290877623,4752.1810838680813
10,0.35999999999999999,11423.900540185123,6136.2213937178385,5841.5588970705285,5547.6162808627996,6678.6511146191533,4756.4913901967911
11,0.40000000000000002,11422.132297228232,6136.8523230279861,5837.1300886764438,5550.8227448168036,6678.6081302529274,4755.1488615842045
12,0.44,11424.574222226347,6135.9502481014533,5833.9926040862456,5551.879225968788,6678.6606109151817,4754.8528519726897
13,0.47999999999999998,11418.506773510542,6143.3205886898086,5831.4131899852673,5553.9630013882825,6679.5033930978807,4761.1145063340937
14,0.52000000000000002,11418.217700030455,6138.4325697248578,5841.1479695327353,5547.5327214667768,6681.3612371457593,4754.2993520702566
15,0.56000000000000005,11419.192140142854,6137.5740773935713,5833.6653980164256,5554.9521492469376,6681.1176947239919,4758.6701101043918
16,0.59999999999999998,11417.462680131082,6146.7464226558368,5833.8033749639853,5550.244529990985,6682.6310288975819,4753.2332297082266
