"Worm Data","Position (um) of Centroid"
"Sequence","VID00086.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y"
1,0,10260.962796660577,6329.2152425958302,7766.3061492457346,4580.3921524559464,13887.82007193489,4691.4656881913161,2554.9276339659014,4197.8544762803313
2,0.040000000000000001,10256.637674770416,6327.9418061397828,7771.3280497921469,4573.8142301688495,13891.63356911206,4692.7735871071163,2544.6387044739886,4189.5452600616181
3,0.080000000000000002,10242.757267922838,6323.5373075290636,7765.2469146558869,4579.7879396284361,13893.092183124963,4692.3362809089995,2532.8594577970061,4177.9819104953531
4,0.12,10232.303251828778,6323.2905971876771,7749.2774187142359,4594.7367333218926,13906.171453541414,4694.1393844244576,2522.7620487223303,4167.8098165244992
5,0.16,10233.372789186895,6323.2130420731246,7747.2874892528944,4599.4866969999393,13911.509486516397,4695.4610907488595,2532.0059558075181,4182.2599902754737
6,0.20000000000000001,10217.504209450517,6321.7154187577526,7732.2286314891508,4622.2012468375078,13918.346952054046,4696.5671153248104,2521.6816599978665,4172.6402949031535
7,0.23999999999999999,10218.409566283472,6323.3460942719685,7730.3145590332842,4623.83856509205,13924.854187717432,4695.1374563112995,2522.7390722173373,4171.7778367364226
8,0.28000000000000003,10197.312519452946,6328.005328183157,7735.4014546183016,4618.3883926464277,13929.839516254997,4692.1184883312271,2514.5247728070235,4162.0726252093973
9,0.32000000000000001,10175.353316713707,6333.8036915516586,7718.47682021132,4657.6857105741292,13933.806780903091,4691.6297109752877,2508.6569072173888,4151.1503676503726
10,0.35999999999999999,10167.547010647844,6337.4671242968616,7723.5096711348087,4650.0116108059765,13954.480433567845,4688.2041615998305,2508.2050474191687,4152.2284009119803
11,0.40000000000000002,10152.218127026423,6346.6647004400111,7714.1504614389796,4678.010530140119,13960.954401312105,4687.4523574065051,2506.1995560659589,4148.4928377515325
12,0.44,10140.064723366333,6355.0377651668605,7710.147772528685,4694.0267417069235,13961.082859483127,4685.6030305799295,2501.0380089423711,4140.0712137959144
13,0.47999999999999998,10110.755417806105,6377.3625322698645,7705.9920669540534,4706.7388207721251,13964.690708904405,4684.7496984464815,2493.5286573250542,4127.5835910050091
14,0.52000000000000002,10112.455086140866,6377.1705045259978,7703.5710884758237,4717.6062648165271,13972.860331729078,4680.7999207644707,2483.8621031905777,4109.2580813690083
15,0.56000000000000005,10089.310833015197,6395.7013393199431,7701.5795958493836,4729.5142458297596,13973.897086970474,4676.8480679102186,2482.7773965867132,4107.5352977133844
16,0.59999999999999998,10086.758681235486,6398.7608555312854,7697.7319444123095,4739.9232274693331,13981.50101686131,4675.1614633695926,2493.6684997266693,4126.0629394940124
17,0.64000000000000001,10071.124040836085,6409.8890934294923,7695.0139085457276,4752.7304507887193,13990.321062484776,4669.978659702796,2474.662465326664,4072.1037109333292
18,0.68000000000000005,10063.290408185485,6416.5523301727935,7691.6343932031559,4763.4998060854214,14000.198721564726,4662.8919460074385,2474.945375983023,4072.0630728791148
19,0.71999999999999997,10049.47195969898,6427.5758485396691,7691.0486029630392,4765.3895660449525,14004.02084625062,4659.5512188970115,2471.6764754242404,4054.7692172617235
20,0.76000000000000001,10037.611491670936,6433.1877950272319,7684.6932470797119,4779.8743056924804,13999.085552023276,4662.8729726059455,2473.8987687549225,4037.8691652353227
21,0.80000000000000004,10025.550760628026,6438.2660822213847,7683.1659477658313,4786.6136603089917,14017.272948777603,4648.8495135161438,2476.6678099472751,4020.9688156772736
22,0.83999999999999997,10014.78081011695,6442.335866894462,7674.5134057064806,4798.7423691515851,14015.085027791187,4647.2963758775986,2476.9760437120999,4021.4429389910156
23,0.88,10005.284639907904,6445.7504576962965,7672.6691648906117,4799.9938404052536,14028.359107214243,4638.8195400286477,2487.6406150222688,4008.0919191715966
24,0.92000000000000004,9995.104080363124,6448.3729796333009,7667.4524119913631,4803.3474311073214,14001.155560856861,4654.7337094366549,2487.8112571121815,4008.0943801369222
25,0.95999999999999996,9986.3534526340954,6449.7632223427618,7656.8777442519604,4813.8795796372024,14037.073607916262,4630.6949327751136,2489.6303820628227,4008.4603007767155
26,1,9972.4865720287198,6452.288315669346,7651.4866647530635,4818.7607626917579,14047.618944092774,4621.4948440829694,2483.5627846364873,4018.1303652423248
27,1.04,9963.2232203343556,6450.0631659195733,7636.2908183408981,4829.9874625196853,14041.815051152149,4622.2114345567052,2486.9590795602967,4002.1653439710553
28,1.0800000000000001,9954.530271659718,6449.3835937809672,7618.3105501120053,4839.8214367236587,14056.986236269431,4611.0240984282336,2491.4729281353689,3986.4557671204993
29,1.1200000000000001,9943.0296946496492,6447.7394989503373,7615.879489237378,4838.0911091125563,14074.313853877178,4600.7872614036733,2496.8242172455653,3980.915328761921
30,1.1599999999999999,9929.2346356582475,6442.7317323036841,7600.0368489518696,4843.367427737875,14076.88285341172,4599.3363358501219,2501.5798207075013,3971.8970666597952
31,1.2,9928.8891376847205,6442.2334724135817,7586.9727621415923,4847.6350882095867,14087.025690454993,4594.9412612977958,2505.5679301493947,3970.4566318018069
32,1.24,9907.2645832897633,6434.2353975314008,7578.2458473062443,4847.785447875146,14083.312569148016,4595.7674315330032,2510.915199454756,3948.1604067313665
33,1.28,9900.5968845944954,6428.5084926224554,7567.036262003192,4848.1173127744414,14096.893077293742,4592.4813466856931,2514.4432540225807,3932.6447245191312
34,1.3200000000000001,9887.8634816324757,6415.3094264904066,7551.2064489028417,4849.4224768242339,14101.57227189783,4591.4291071675925,2520.9898933075233,3927.6548826622775
35,1.3600000000000001,9887.2722377669907,6420.7962833172533,7538.5353843356825,4849.3666373568376,14110.361702046681,4588.8828625105598,2532.8243125999043,3905.1079996284234
36,1.4000000000000001,9871.4521173138455,6411.0138375641091,7533.8917009686456,4847.5296612003267,14113.780382303865,4587.5285284482079,2538.0076998280601,3889.4008811268204
37,1.4399999999999999,9876.9145483605607,6413.2434748971555,7523.9352461540484,4846.1445915717177,14135.700660245666,4586.631832974891,2543.1626965032674,3875.542921098353
38,1.48,9874.8426969218945,6410.5016533097423,7516.2034286329626,4844.0857578299101,14129.145067239804,4586.2250446803373,2548.7604688328875,3859.8557123738965
39,1.52,9856.7226966329708,6394.9913298497904,7505.4112367746475,4844.0862666508865,14139.205998951411,4588.0834616285147,2549.7586844932562,3855.3973880424192
40,1.5600000000000001,9851.3972507211001,6387.5524413289295,7497.5320832376574,4844.4217395010428,14137.901607568874,4584.7408699313064,2550.4572144363824,3855.8453161853022
41,1.6000000000000001,9846.6788442308771,6385.3870669197877,7473.8782126510423,4845.4886987274049,14146.863793116914,4587.3111344546014,2553.0815359530839,3852.5698853965523
42,1.6400000000000001,9850.8322978210326,6386.4585920223244,7472.9372309791352,4843.3021431889856,14150.727434809829,4588.8242248454808,2554.6755255348389,3869.7558352724836
43,1.6799999999999999,9843.3307804301694,6377.8461779391655,7457.9084327191076,4848.8562104858111,14150.240214711173,4587.45857776515,2556.5860866178905,3853.0398336442559
44,1.72,9832.9537133736139,6363.8330205701532,7446.9272012972642,4849.6296354713804,14151.267157448832,4588.9706497104835,2555.4188184644877,3833.152894114517
45,1.76,9836.8721191560107,6370.5428796147389,7439.9235641276873,4849.9484253938335,14154.808513188163,4591.0754266703316,2557.3296840700509,3816.6234663456116
46,1.8,9836.636019603071,6369.3716091492697,7429.9718673139114,4854.5621531571442,14147.311646656502,4589.3649913858035,2560.530860633,3817.0305133660504
47,1.8400000000000001,9834.6648850830916,6366.2214692149128,7405.4242350925806,4868.3474493734102,14148.078277725112,4589.4801239684539,2558.746401142836,3800.6093099119262
48,1.8800000000000001,9825.8344736141516,6359.7152268283426,7400.1659247939378,4871.9351378420261,14160.52950360363,4591.0868154525824,2554.8475158204101,3784.4789079468865
49,1.9199999999999999,9819.1427882091757,6355.731470449783,7409.0820629992722,4864.4557088478268,14152.408270143183,4590.0347662635604,2550.0138981782616,3768.6664323095192
50,1.96,9813.3604939545639,6350.7538776535393,7385.887723791162,4882.8297505151659,14154.381397553421,4591.8274114457972,2554.9900459576806,3784.4546438496609
51,2,9800.6684147698106,6343.7307760168642,7391.5567079814,4876.4196765521883,14159.26582627023,4592.0532468500023,2534.3611196454867,3739.3706115874502
52,2.04,9798.4989057126277,6342.7541319669563,7394.1757805883344,4873.1481413789907,14152.314564149745,4591.2975623861485,2532.6403986610162,3750.6059472664283
53,2.0800000000000001,9788.6248658027907,6338.2280639416877,7389.5537561059309,4877.2343757369536,14151.564978313161,4591.9667445146488,2518.750834560336,3733.6281453767224
54,2.1200000000000001,9782.1335576887614,6336.0501509271826,7382.8228507406575,4883.3884757689675,14142.501112031119,4591.4970845581511,2509.9865167765574,3724.8266337380192
55,2.1600000000000001,9777.8701493766239,6333.6401357974992,7357.997869975361,4911.5231051454884,14157.806249630143,4595.21871309776,2499.3040434548493,3715.153742870747
56,2.2000000000000002,9772.0151204706799,6332.696190488864,7358.2235147108595,4912.7967423408791,14156.587595471952,4595.6413786093781,2489.5039382214977,3705.3264415151762
57,2.2400000000000002,9769.1034219050125,6331.700894999628,7358.3946946072774,4911.2065078566129,14160.66848656717,4595.8638901960057,2501.2555800264231,3718.1359160790125
58,2.2800000000000002,9759.2578475222726,6329.9574613671539,7351.3618570793087,4920.705911519186,14159.546038442935,4595.7172030879165,2491.9594044703053,3711.8322921136287
59,2.3199999999999998,9759.9419847117297,6330.2730127073319,7345.7099693525006,4936.6238738987458,14163.47375375324,4599.0241976286216,2482.8509720147445,3705.9545346456443
60,2.3599999999999999,9741.8868727044064,6328.9061676206939,7342.9523046050181,4947.4088642104134,14157.335260839809,4597.7713729478028,2484.0182728727109,3709.1213508451456
61,2.3999999999999999,9731.5121008706465,6329.4633868014553,7341.311118854951,4954.5567428368877,14161.403530130216,4595.2545883308903,2476.2698364216249,3703.6227879619073
62,2.4399999999999999,9720.5014299532231,6330.2885287270055,7338.664922144937,4993.1914910379519,14156.511654636328,4596.0693496080094,2468.3064384263043,3700.1251370535629
63,2.48,9713.499980487446,6330.8345309392516,7338.9892917486304,4982.6298559129618,14168.706336151672,4600.4970837717374,2448.3459591698893,3688.397651684727
64,2.52,9706.8178646289143,6332.7578712012055,7339.3216255681709,4981.1569029852881,14163.813075491013,4601.3518110642544,2452.2396577409468,3694.5834782279462
65,2.5600000000000001,9700.6243526837643,6335.4394671297005,7339.9373025731393,5011.8922275121722,14167.82995346751,4602.6698934707865,2447.6702728235337,3690.6857362525734
66,2.6000000000000001,9705.9583365635481,6335.3546968379287,7341.1210223742955,5023.8315619438681,14169.68691118517,4604.5173008606425,2446.4183837822748,3692.3579299592529
67,2.6400000000000001,9670.8118078725929,6352.4354241095953,7340.8514607539382,5037.3688164303294,14172.854464961731,4605.2130997515405,2437.5422453194574,3686.7845313689813
68,2.6800000000000002,9640.400195564338,6376.8489037900381,7343.8609994809913,5050.2661838434751,14193.440881302444,4613.356986897139,2428.8551858016808,3683.320680356559
69,2.7200000000000002,9647.9918969351602,6372.8049450973558,7344.3013283723458,5071.1447556147441,14195.227142569824,4615.130337384574,2424.017185820102,3680.0733521728207
70,2.7600000000000002,9633.3303199767124,6385.2882560841135,7345.1923362683256,5086.499340887859,14198.556673123039,4618.6606261512306,2418.3758944404881,3675.2235669235124
71,2.8000000000000003,9629.0343479643288,6389.6656372282841,7345.478652530338,5101.6803993788935,14209.024239604589,4626.4172909779445,2412.7686633209723,3671.1108786100585
72,2.8399999999999999,9620.8420980666615,6398.2404802041356,7346.7483837717546,5107.8197024663059,14211.810116142584,4628.949910776154,2410.07799466092,3668.6100750814267
73,2.8799999999999999,9610.8166684706084,6412.0531589224356,7344.6133047645653,5121.530714371158,14215.64852620415,4629.9860106544802,2398.5037558062436,3660.6966654492026
74,2.9199999999999999,9605.2072206440898,6416.0072959370027,7345.9758310664174,5125.6979513656006,14222.56317209364,4634.6291475172084,2399.1447369772486,3660.9159308602348
