"Worm Data","Position (um) of Centroid"
"Sequence","VID00084.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y"
1,0,4499.6185646023177,6869.8275123657331,6686.271066147182,5238.2997751187377,2687.7988646197059,4426.420306711736,10177.681623764014,3725.6360470424206
2,0.040000000000000001,4503.6189751644952,6861.5310567967108,6688.9254071411215,5242.1125836873443,2685.2996598312525,4422.3346747685046,10180.549895021701,3724.4835182816341
3,0.080000000000000002,4504.7263138086446,6859.5872993860294,6685.1878485190482,5236.3931843504279,2685.3043147388071,4421.478849572195,10178.209274941481,3725.7837199686346
4,0.12,4502.0530873537627,6865.8190229533775,6679.0377497956806,5228.4853865309133,2686.3184395706753,4423.3891437447428,10167.62448300685,3728.9545670044699
5,0.16,4499.2761727866264,6868.016955361345,6679.3189821905771,5228.5723427161283,2683.5319622634279,4427.8311852834604,10186.104953550333,3719.0072895329649
6,0.20000000000000001,4498.8299826466473,6871.413825484341,6663.7271573824901,5183.0403362256311,2680.9190371916229,4418.3630399961321,10177.881299218228,3724.7722146969809
7,0.23999999999999999,4498.152459159518,6873.9103994174238,6664.7325875753704,5197.7911187842901,2680.3015615333993,4418.8622779507505,10190.126643079917,3717.4484069030668
8,0.28000000000000003,4503.3354649676285,6865.0034596536843,6671.4556994033273,5208.0448676123833,2684.2611882696579,4423.0280062603897,10202.181149494685,3707.7953811939051
9,0.32000000000000001,4505.4419664934067,6860.919713130781,6673.1970412561514,5207.3232433016683,2686.5353468931003,4426.7700159233245,10204.092066392501,3710.2183232398265
10,0.35999999999999999,4505.4863095306519,6861.6641830545668,6680.7400900642388,5217.5934846545279,2695.8573655627888,4435.1105733180802,10178.274644684661,3725.9893203887623
11,0.40000000000000002,4506.3013023517133,6862.4359930195269,6680.8114405403976,5217.5576757489916,2696.2436599009066,4437.5270659832486,10181.802983062253,3724.0685326544344
12,0.44,4505.8657467071935,6862.4499571447086,6673.7021058564087,5204.5285173953953,2689.6477974711988,4427.5354445393004,10178.605331033958,3724.3889051318056
13,0.47999999999999998,4504.60712963675,6867.5718839514066,6674.4310172049545,5218.2681122160429,2700.2318890401962,4440.3905459318476,10181.234112704318,3724.044462358188
14,0.52000000000000002,4500.9663703162369,6875.7769783017384,6675.8145877003299,5218.692791831556,2699.2760443595866,4440.693964111957,10178.496425872854,3727.1021924885354
15,0.56000000000000005,4499.8503834261364,6875.1432586069059,6677.6053281424129,5217.7414980061285,2696.0986768168505,4435.3591060186527,10179.668360537276,3725.7635703768519
16,0.59999999999999998,4500.5305723716738,6875.7572599865725,6672.9099747286136,5210.918812386506,2688.7001612545696,4427.8632845855236,10178.72783569344,3725.7675617121222
17,0.64000000000000001,4503.205344508955,6870.2944323737684,6676.2267865238819,5203.3177926715662,2694.0499410385664,4435.4995191446624,10177.936303869685,3724.0121808639205
18,0.68000000000000005,4502.7388091987186,6868.0560844979191,6677.9723170733105,5202.6121606957804,2692.6106408522951,4434.9893090415808,10191.933902838293,3715.8449146479543
19,0.71999999999999997,4498.1351398245788,6877.5594309030303,6677.8586290752773,5202.6122600512417,2708.3353270767689,4448.311759167801,10170.991314084107,3728.0509970049934
20,0.76000000000000001,4506.7862444948278,6865.3780465007603,6674.0036261677051,5206.4493481038589,2714.3202228554778,4451.4655155467426,10143.316226034727,3741.1839919319355
21,0.80000000000000004,4505.9368072534544,6865.3348791818489,6673.3787452569513,5206.85846676244,2711.7995688673391,4448.7537841078374,10159.461150894665,3733.6293187297497
22,0.83999999999999997,4506.1149825849761,6864.7075627871181,6667.5333820801961,5197.484031984015,2700.6005706816572,4441.9226038440256,10188.763117883473,3721.2016419781112
23,0.88,4509.345817322227,6857.0797949023636,6674.4737424652239,5212.4037718872733,2711.1069238298119,4452.5054489367203,10184.472194862008,3721.2908534745056
24,0.92000000000000004,4509.6158454823699,6860.5428014153558,6678.5934586814546,5205.2585785594902,2712.4958026991817,4456.0426355445888,10187.807210693676,3718.3715427232046
25,0.95999999999999996,4504.4395824710055,6868.0031728113881,6672.6774557077279,5202.2469179492591,2714.6027465418565,4456.1707280508617,10182.809574879353,3722.3908736335907
26,1,4508.9762111160935,6859.3166983222782,6669.4434962798741,5196.9126236123711,2722.5796402614797,4463.9957929811562,10196.547111962949,3714.9517334968723
27,1.04,4508.123516692559,6863.0296548147871,6670.8194829157701,5194.8660986949417,2732.7600657682879,4477.9840217642886,10188.510542460368,3719.1855630118826
28,1.0800000000000001,4509.1739238446062,6860.1670922617468,6672.0788516660314,5198.5651095117346,2727.7645345717356,4473.7931165244872,10188.397710984684,3718.9561619410633
29,1.1200000000000001,4506.4223248202979,6862.8924870144601,6671.6841898893445,5198.6864708790145,2739.5676692567781,4494.9856363800891,10193.530036491897,3717.1082391096907
