meanspeed,medium,bacteria
140.4003170092308,LD,BL21
233.32628568725897,LD,BL21
247.01084666900508,LD,BL21
128.50297791481387,LD,BL21
135.642062037102,LD,BL21
110.72741075701752,LD,BL21
145.88074613673388,LD,BL21
173.78750143289227,LD,BL21
97.69202503235903,LD,BL21
140.85925756876034,LD,BL21
279.46488836688025,LD,NGM
140.56129376665314,LD,NGM
187.76699387936188,LD,NGM
169.80654817281612,LD,NGM
192.4026308777983,LD,NGM
258.3123254642992,LD,NGM
150.4176722888254,LD,NGM
137.17906138968195,M9,BL21
204.03970251461294,M9,BL21
176.3191216503136,M9,BL21
233.26156995656538,M9,BL21
219.93593518029283,M9,BL21
241.2739029777913,M9,BL21
246.15469540186155,M9,BL21
142.81316683369326,M9,BL21
261.5780416909337,M9,BL21
206.5821158309438,M9,NGM
225.99564437021928,M9,NGM
199.2881840931067,M9,NGM
328.49379263184807,M9,NGM
151.47533347725127,M9,NGM
210.7513335378301,M9,NGM
137.76992638972035,M9,NGM
219.13873789456895,M9,NGM
161.48749072886204,M9,NGM
191.57347172419574,M9,NGM
254.9566834559939,M9,NGM
260.17774863363206,M9,NGM
137.87774554923226,LD,BL21
183.20727116539527,LD,BL21
213.74802240497777,LD,BL21
204.75467800381165,LD,BL21
71.57489601921351,LD,BL21
181.30587775143655,LD,BL21
133.90202418850384,LD,BL21
150.14671104215515,LD,BL21
173.78620159719142,LD,BL21
112.53474237118479,LD,BL21
248.94982399041302,LD,NGM
197.21634576372787,LD,NGM
305.29967201214026,LD,NGM
212.72826487680695,LD,NGM
230.40217225282066,LD,NGM
318.0210760330174,LD,NGM
187.59264367053225,LD,NGM
215.9774744493601,LD,NGM
169.89745422304588,LD,NGM
198.79391402052377,LD,NGM
272.88397001647127,LD,NGM
258.44541461321097,M9,BL21
261.64123184352553,M9,BL21
276.4648978698738,M9,BL21
171.62867938840017,M9,BL21
188.11702600476798,M9,BL21
181.52905422535937,M9,BL21
188.9550172806209,M9,BL21
71.92043957448041,M9,BL21
203.43884889836215,M9,NGM
308.37471210683293,M9,NGM
295.93459548020104,M9,NGM
265.63298629635767,M9,NGM
327.0667453877448,M9,NGM
141.59534288042914,M9,NGM
95.42236548623755,M9,NGM
206.11282179791348,M9,NGM
231.78051197073907,M9,NGM
87.98486345285633,LD,BL21
173.9644199651068,LD,BL21
138.0741518595771,LD,BL21
102.75862895337636,LD,BL21
130.63603644304732,LD,BL21
129.85939509240842,LD,BL21
80.76459875485735,LD,BL21
79.76339494508655,LD,BL21
243.40103237636552,LD,NGM
268.8650107199182,LD,NGM
253.80263992012272,LD,NGM
300.35707201307144,LD,NGM
271.43545781150175,LD,NGM
235.15735213385236,LD,NGM
261.4417273811866,LD,NGM
259.96981775433466,LD,NGM
238.55374589754095,LD,NGM
264.59918353120605,M9,BL21
235.86840168554804,M9,BL21
170.97321809738682,M9,BL21
216.19624950284162,M9,BL21
179.95947513742863,M9,BL21
103.33415111376621,M9,BL21
209.8681540559607,M9,BL21
126.26677348732845,M9,BL21
201.6272467309772,M9,BL21
301.4536995640437,M9,NGM
241.4686112496924,M9,NGM
313.62269053445937,M9,NGM
204.92170988083944,M9,NGM
246.4177565284459,M9,NGM
214.62748382947012,M9,NGM
270.0019275850748,M9,NGM
276.0022689961997,M9,NGM
205.111561561562,M9,NGM
234.21532153723274,M9,NGM
