meanspeed,worm,bacteria
226.3392451842191,N2,BL21
174.5300691876087,N2,BL21
115.40815934651133,N2,BL21
86.51800496154499,N2,BL21
221.15078021297987,N2,BL21
139.07461384371956,N2,BL21
194.66215721250725,N2,BL21
186.89963866855126,N2,BL21
155.43715512605357,N2,BL21
154.46937736373962,N2,BL21
371.79035524793613,N2,NGM
209.5041201407798,N2,NGM
242.78101921128334,N2,NGM
263.7198864502231,N2,NGM
295.4186143508404,N2,NGM
263.3741009716987,N2,NGM
275.7901104532211,N2,NGM
255.24712750000808,N2,NGM
137.17906138968195,CB,BL21
204.03970251461294,CB,BL21
176.3191216503136,CB,BL21
233.26156995656538,CB,BL21
219.93593518029283,CB,BL21
241.2739029777913,CB,BL21
246.15469540186155,CB,BL21
142.81316683369326,CB,BL21
261.5780416909337,CB,BL21
206.5821158309438,CB,NGM
225.99564437021928,CB,NGM
199.2881840931067,CB,NGM
328.49379263184807,CB,NGM
151.47533347725127,CB,NGM
210.7513335378301,CB,NGM
137.76992638972035,CB,NGM
219.13873789456895,CB,NGM
161.48749072886204,CB,NGM
191.57347172419574,CB,NGM
254.9566834559939,CB,NGM
260.17774863363206,CB,NGM
252.22266665728264,MT,BL21
203.04597771016108,MT,BL21
245.39956514234143,MT,BL21
201.88532738635553,MT,BL21
206.39622711986297,MT,BL21
218.35075702821948,MT,BL21
195.62410743011307,MT,BL21
112.81346095563254,MT,BL21
167.1631321438476,MT,BL21
292.50986087073045,MT,NGM
203.20847094584818,MT,NGM
277.3661588790644,MT,NGM
242.65285256990785,MT,NGM
151.21594964841287,MT,NGM
240.49569426219614,MT,NGM
223.4295453605607,MT,NGM
198.12617975021146,MT,NGM
124.3490662147105,MT,NGM
150.71806226334306,MT,NGM
143.77059091431988,N2,BL21
145.8995195654395,N2,BL21
59.193602329662184,N2,BL21
145.08193795080254,N2,BL21
167.14543286889995,N2,BL21
90.96637812916191,N2,BL21
112.42071489558658,N2,BL21
193.77805443987296,N2,NGM
337.2306117115996,N2,NGM
266.81955651134655,N2,NGM
291.50979971146813,N2,NGM
303.8810764226958,N2,NGM
235.8900031182293,N2,NGM
252.66673948202487,N2,NGM
214.39873753028115,N2,NGM
279.5326966022721,N2,NGM
258.44541461321097,CB,BL21
261.64123184352553,CB,BL21
276.4648978698738,CB,BL21
171.62867938840017,CB,BL21
188.11702600476798,CB,BL21
181.52905422535937,CB,BL21
188.9550172806209,CB,BL21
71.92043957448041,CB,BL21
203.43884889836215,CB,NGM
308.37471210683293,CB,NGM
295.93459548020104,CB,NGM
265.63298629635767,CB,NGM
327.0667453877448,CB,NGM
141.59534288042914,CB,NGM
95.42236548623755,CB,NGM
206.11282179791348,CB,NGM
231.78051197073907,CB,NGM
205.23586323643823,MT,BL21
244.5741923536489,MT,BL21
258.53905596553574,MT,BL21
160.70500010582973,MT,BL21
75.93174895052447,MT,BL21
179.58557623305296,MT,BL21
153.91105440374625,MT,BL21
242.49449425612875,MT,NGM
197.4569328206984,MT,NGM
240.10496883304097,MT,NGM
218.51616717112634,MT,NGM
167.1390347118626,MT,NGM
254.03990842667488,MT,NGM
246.04437671994896,MT,NGM
185.98050825531956,N2,BL21
141.90742804444076,N2,BL21
182.2070895398067,N2,BL21
100.969209748301,N2,BL21
198.940623446869,N2,BL21
167.8372288100011,N2,BL21
141.88781360274263,N2,BL21
199.22880881143075,N2,BL21
87.57254302624175,N2,BL21
159.6154769158122,N2,BL21
348.33688697221766,N2,NGM
283.11644682506164,N2,NGM
408.86310879811845,N2,NGM
371.4853710168517,N2,NGM
361.3668394147243,N2,NGM
232.32722878387077,N2,NGM
319.29612295057944,N2,NGM
356.9616561613414,N2,NGM
264.59918353120605,CB,BL21
235.86840168554804,CB,BL21
170.97321809738682,CB,BL21
216.19624950284162,CB,BL21
179.95947513742863,CB,BL21
103.33415111376621,CB,BL21
209.8681540559607,CB,BL21
126.26677348732845,CB,BL21
201.6272467309772,CB,BL21
301.4536995640437,CB,NGM
241.4686112496924,CB,NGM
313.62269053445937,CB,NGM
204.92170988083944,CB,NGM
246.4177565284459,CB,NGM
214.62748382947012,CB,NGM
270.0019275850748,CB,NGM
276.0022689961997,CB,NGM
205.111561561562,CB,NGM
234.21532153723274,CB,NGM
155.3507199596114,MT,BL21
250.7316222704105,MT,BL21
124.12831262908213,MT,BL21
155.4518851662706,MT,BL21
237.7764016049059,MT,BL21
177.1328292407928,MT,BL21
181.79878363734517,MT,BL21
293.3601512079512,MT,NGM
337.0014149855575,MT,NGM
258.3152527187501,MT,NGM
349.15248389343526,MT,NGM
180.46835661314873,MT,NGM
173.85608238379794,MT,NGM
188.43404565575045,MT,NGM
151.31529224174545,MT,NGM
235.48062116224608,MT,NGM
306.43246491690013,MT,NGM
