meanspeed,medium,bacteria
177.26445278405015,LD,BL21
61.9157086432707,LD,BL21
175.67928634110243,LD,BL21
206.84826266015045,LD,BL21
209.43208581425395,LD,BL21
238.51549986613327,LD,BL21
55.27181057496696,LD,BL21
237.52698534794186,LD,BL21
176.7418422220608,LD,NGM
243.19958338907102,LD,NGM
165.34529518556624,LD,NGM
120.2230812242236,LD,NGM
163.72561967541495,LD,NGM
99.64748678580496,LD,NGM
95.67313876237499,LD,NGM
148.41517930447006,LD,NGM
256.1311233260131,LD,NGM
118.30096262453216,LD,NGM
252.22266665728264,M9,BL21
203.04597771016108,M9,BL21
245.39956514234143,M9,BL21
201.88532738635553,M9,BL21
206.39622711986297,M9,BL21
218.35075702821948,M9,BL21
195.62410743011307,M9,BL21
112.81346095563254,M9,BL21
167.1631321438476,M9,BL21
292.50986087073045,M9,NGM
203.20847094584818,M9,NGM
277.3661588790644,M9,NGM
242.65285256990785,M9,NGM
151.21594964841287,M9,NGM
240.49569426219614,M9,NGM
223.4295453605607,M9,NGM
198.12617975021146,M9,NGM
124.3490662147105,M9,NGM
150.71806226334306,M9,NGM
114.15772321938742,LD,BL21
124.59836776159669,LD,BL21
138.62321763435094,LD,BL21
92.051722384854,LD,BL21
95.5723418461313,LD,BL21
73.02235655670694,LD,BL21
90.85644579293631,LD,BL21
38.11840502135311,LD,BL21
93.33806195014793,LD,BL21
133.6126090851039,LD,NGM
230.24426901439847,LD,NGM
151.6148179627152,LD,NGM
132.4461959597401,LD,NGM
234.37288804611083,LD,NGM
197.52614537336743,LD,NGM
117.68857746102452,LD,NGM
184.62278536785723,LD,NGM
201.68411302119537,LD,NGM
172.3949793148681,LD,NGM
205.23586323643823,M9,BL21
244.5741923536489,M9,BL21
258.53905596553574,M9,BL21
160.70500010582973,M9,BL21
75.93174895052447,M9,BL21
179.58557623305296,M9,BL21
153.91105440374625,M9,BL21
242.49449425612875,M9,NGM
197.4569328206984,M9,NGM
240.10496883304097,M9,NGM
218.51616717112634,M9,NGM
167.1390347118626,M9,NGM
254.03990842667488,M9,NGM
246.04437671994896,M9,NGM
165.46442856621465,LD,BL21
140.00060624842,LD,BL21
88.73999526526778,LD,BL21
142.92002885906433,LD,BL21
114.3766996558856,LD,BL21
66.23392631099944,LD,BL21
182.9872682094316,LD,BL21
141.20992041254735,LD,BL21
97.77861055976884,LD,BL21
67.67189255169431,LD,BL21
49.33260418711671,LD,BL21
210.8631674004954,LD,NGM
263.3666655297462,LD,NGM
145.97650082710223,LD,NGM
150.04553983586263,LD,NGM
237.84621453891626,LD,NGM
192.71858081477683,LD,NGM
180.8169880484716,LD,NGM
208.92782009274956,LD,NGM
155.3507199596114,M9,BL21
250.7316222704105,M9,BL21
124.12831262908213,M9,BL21
155.4518851662706,M9,BL21
237.7764016049059,M9,BL21
177.1328292407928,M9,BL21
181.79878363734517,M9,BL21
293.3601512079512,M9,NGM
337.0014149855575,M9,NGM
258.3152527187501,M9,NGM
349.15248389343526,M9,NGM
180.46835661314873,M9,NGM
173.85608238379794,M9,NGM
188.43404565575045,M9,NGM
151.31529224174545,M9,NGM
235.48062116224608,M9,NGM
306.43246491690013,M9,NGM
