meanspeed,medium,bacteria
114.4629713172318,LD,BL21
153.47016654213692,LD,BL21
185.59378757392528,LD,BL21
124.10002473801461,LD,BL21
122.38404052536902,LD,BL21
135.14636382818793,LD,BL21
84.08476292512358,LD,BL21
149.4857402514084,LD,BL21
211.10470908383533,LD,NGM
220.7598332414822,LD,NGM
267.50224406199374,LD,NGM
194.13467569095977,LD,NGM
233.38284388796265,LD,NGM
146.82693928279824,LD,NGM
226.3392451842191,M9,BL21
174.5300691876087,M9,BL21
115.40815934651133,M9,BL21
86.51800496154499,M9,BL21
221.15078021297987,M9,BL21
139.07461384371956,M9,BL21
194.66215721250725,M9,BL21
186.89963866855126,M9,BL21
155.43715512605357,M9,BL21
154.46937736373962,M9,BL21
371.79035524793613,M9,NGM
209.5041201407798,M9,NGM
242.78101921128334,M9,NGM
263.7198864502231,M9,NGM
295.4186143508404,M9,NGM
263.3741009716987,M9,NGM
275.7901104532211,M9,NGM
255.24712750000808,M9,NGM
158.9719111472665,LD,BL21
113.79242254293341,LD,BL21
143.16338186111105,LD,BL21
163.1538083294304,LD,BL21
170.8493231873708,LD,BL21
105.85013275964155,LD,BL21
75.40483039495432,LD,BL21
111.51913105239665,LD,BL21
175.28879993516006,LD,BL21
155.00414976883408,LD,BL21
293.6701155120793,LD,NGM
305.43608385025954,LD,NGM
216.27677803381405,LD,NGM
322.0721887920073,LD,NGM
274.18843535037166,LD,NGM
258.3132477884962,LD,NGM
206.25753085875604,LD,NGM
150.86685878119042,LD,NGM
174.65297864222012,LD,NGM
182.52790450783098,LD,NGM
226.7492394078745,LD,NGM
143.77059091431988,M9,BL21
145.8995195654395,M9,BL21
59.193602329662184,M9,BL21
145.08193795080254,M9,BL21
167.14543286889995,M9,BL21
90.96637812916191,M9,BL21
112.42071489558658,M9,BL21
193.77805443987296,M9,NGM
337.2306117115996,M9,NGM
266.81955651134655,M9,NGM
291.50979971146813,M9,NGM
303.8810764226958,M9,NGM
235.8900031182293,M9,NGM
252.66673948202487,M9,NGM
214.39873753028115,M9,NGM
279.5326966022721,M9,NGM
239.2577135887052,LD,BL21
251.29092437301935,LD,BL21
235.64925981428232,LD,BL21
231.31585270513517,LD,BL21
262.0151904877456,LD,BL21
206.47175962362007,LD,BL21
252.51515576290302,LD,BL21
175.199885779274,LD,BL21
141.79903349848828,LD,BL21
154.60308600539713,LD,BL21
74.24692639262751,LD,BL21
159.4601302921397,LD,BL21
303.5162532274994,LD,NGM
299.7440035878106,LD,NGM
235.09825484999556,LD,NGM
314.1757393677208,LD,NGM
296.59637576510914,LD,NGM
257.2314037906895,LD,NGM
318.37351494470323,LD,NGM
282.710520858143,LD,NGM
177.13418067820047,LD,NGM
204.8043843663239,LD,NGM
213.7077301209536,LD,NGM
185.98050825531956,M9,BL21
141.90742804444076,M9,BL21
182.2070895398067,M9,BL21
100.969209748301,M9,BL21
198.940623446869,M9,BL21
167.8372288100011,M9,BL21
141.88781360274263,M9,BL21
199.22880881143075,M9,BL21
87.57254302624175,M9,BL21
159.6154769158122,M9,BL21
348.33688697221766,M9,NGM
283.11644682506164,M9,NGM
408.86310879811845,M9,NGM
371.4853710168517,M9,NGM
361.3668394147243,M9,NGM
232.32722878387077,M9,NGM
319.29612295057944,M9,NGM
356.9616561613414,M9,NGM
