"Worm Data","Position (um) of Centroid"
"Sequence","VID00195.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y","5 x","5 y","6 x","6 y"
1,0,6315.125128109893,8045.9839759477254,9701.1764980870776,4840.478765854381,5182.377598832868,4820.9705350988443,8865.2599004648546,3108.8906299598912,12821.48557567438,3128.0877244657258,2306.7743260982784,377.38813380051397
2,0.040000000000000001,6311.389967559473,8058.031040097756,9704.5376932190738,4839.0641680788376,5171.6672571960735,4816.2815360650347,8864.1688735338794,3109.5551105622808,12825.285047249734,3124.9991129379632,2294.0619565012366,383.67585129395411
3,0.080000000000000002,6309.5371720689118,8057.4034694445509,9696.1949575304461,4829.6145925819374,5166.4319196366177,4814.9366468847566,8866.5624685518233,3110.3207447151126,12831.052884233677,3120.3687059820486,2278.4123819708129,392.32204539843224
4,0.12,6300.3816029337395,8088.4264702025848,9694.2288094180876,4824.1332864193992,5163.1678136172968,4813.5923171334571,8853.2609608511357,3113.6620099773281,12831.602346888918,3120.3940584257743,2273.5250863680235,394.41653446504461
5,0.16,6289.5143610751147,8105.7886018657027,9690.8844590402587,4805.1018420353985,5154.2011058960707,4807.2833429248431,8844.8257406737557,3116.682100524773,12835.829509274736,3117.4123773898655,2258.1874874685032,404.77027990105489
6,0.20000000000000001,6289.084837500809,8106.9275042516465,9690.2529704836888,4801.1374773443167,5150.5446532787391,4804.1846501700966,8839.0609935452831,3117.6840797620507,12836.396748422394,3116.3360511430146,2251.0696282368472,409.30110537269138
7,0.23999999999999999,6290.442745859692,8106.4522419194764,9688.4628907791575,4797.8317965936521,5143.268077927135,4799.4125352336705,8839.1056523840125,3118.1418726216607,12844.704921751261,3112.280511749168,2242.164342659335,418.64322807337339
8,0.28000000000000003,6290.8419103058613,8107.6959577572225,9687.0737424550789,4789.6566948789314,5141.0133122365223,4797.0497660702267,8839.1901528080616,3118.017361432122,12841.74146950481,3113.2697234829957,2236.8017659793522,425.06086079351189
9,0.32000000000000001,6293.6833650333019,8102.4189242444809,9689.9735701512891,4780.6823627665135,5130.3069213150829,4791.9918676465077,8809.3138872562431,3127.271342489099,12855.415341440948,3105.4750471814932,2230.3992452307384,434.28448824582483
10,0.35999999999999999,6296.8058439606975,8093.9899637360013,9689.3033530934481,4776.2045284732421,5128.0886178885357,4792.6293986421451,8826.3644466253609,3124.2007292596954,12856.209687286855,3105.098197199346,2230.587209545658,438.5975902512946
11,0.40000000000000002,6302.2569604824821,8079.3010389586943,9689.368129226641,4770.3038831468712,5118.7348158054374,4788.4657260991644,8827.4012647717882,3127.444683590139,12854.607218927384,3105.5488465679355,2227.9676448604164,443.24183281815385
12,0.44,6305.4227892634344,8074.5384778260013,9689.4088791038685,4766.5068410928488,5117.124972473056,4788.1221218805304,8800.0057815882046,3131.1123475488257,12855.774001079644,3105.2037737603432,2227.0194541643223,449.67415988101493
13,0.47999999999999998,6309.5625124383805,8066.1934207844606,9692.0442118782266,4754.9764797840244,5111.3243355909372,4787.1538098681531,8819.9936542331343,3126.1480164304176,12857.053932540201,3104.8485656859912,2224.204900558545,460.18735676603501
14,0.52000000000000002,6309.6365891750784,8066.215361872325,9695.6429030757809,4745.6382862270602,5102.1968817672732,4785.3550365715928,8809.7108091576411,3130.2655609590929,12859.480270466061,3103.5859507170399,2224.8389733498184,489.65164080101931
15,0.56000000000000005,6319.0994344167311,8036.3658320373152,9700.4572655530083,4733.6062324839113,5093.4146434659251,4782.709192299546,8810.4090701559217,3129.9928019580957,12862.240757302616,3100.6678249111228,2224.6698155261911,489.44175717546568
16,0.59999999999999998,6320.9615504730555,8017.5230117783376,9701.9087736477577,4731.6099175355766,5090.5640540205259,4782.5729854982083,8805.3626936042638,3131.8790673970107,12867.00946812642,3099.5605527479283,2224.5752133903948,484.08365923011297
