"Worm Data","Position (um) of Centroid"
"Sequence","VID00199.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y"
1,0,14548.459929666238,8238.0882300596932,7864.937618585348,5735.4090915134348,2983.894399512239,2633.558352166614
2,0.040000000000000001,14547.709687390978,8237.6723190462799,7863.9831679542276,5737.3532709200672,2983.8870681215194,2635.4065758492097
3,0.080000000000000002,14551.563905000205,8236.3903990498602,7862.4361334826663,5736.1684187204055,2981.5334850376748,2638.776214144973
4,0.12,14553.080867334855,8237.6132703914664,7852.7704509628911,5749.6243020317897,2981.0998606719922,2643.2560578779639
5,0.16,14552.77549526459,8237.9166180042339,7849.8570735390604,5751.4495838216108,2979.4664663192111,2644.5343683694682
6,0.20000000000000001,14551.941010021845,8236.8491465540083,7803.4410659687364,5793.9941318330148,2977.0634282716974,2649.4409232420421
7,0.23999999999999999,14554.815134063769,8237.0506255571127,7788.2118622731068,5803.5942194245372,2975.0811537813156,2659.6280009927459
8,0.28000000000000003,14557.967995014438,8237.0029282311261,7801.7015855014979,5791.5060343035229,2974.9992142793931,2663.7098027983457
9,0.32000000000000001,14558.496582407472,8237.4105559006348,7771.8988596440313,5811.8783649357219,2972.9204027992555,2657.5540314483569
10,0.35999999999999999,14557.269069036183,8237.2781796963318,7755.5340100586845,5838.6885540309759,2966.9114283857534,2672.6366189488044
11,0.40000000000000002,14552.942458479936,8237.867257165206,7756.3058413190738,5839.1282876530158,2969.4143957311567,2673.2679333339902
12,0.44,14558.216464960116,8237.3462074118052,7764.7802622940526,5822.686375121144,2965.9793888159352,2680.9713877969216
13,0.47999999999999998,14559.159551798244,8237.2969597648262,7774.276524506442,5806.8305428762887,2958.2782110478488,2695.36516447344
14,0.52000000000000002,14555.26795556266,8236.7420495294973,7772.8043424217394,5805.372904126868,2957.7565020369839,2695.4264768523335
15,0.56000000000000005,14559.926687817273,8236.4262576560996,7772.0278882304265,5804.5815663872454,2958.8528484968065,2689.6891611750152
16,0.59999999999999998,14556.827930963849,8236.3185934739813,7771.4088012823295,5803.9348949957739,2957.3957704711424,2693.1382300915229
17,0.64000000000000001,14553.792005202979,8236.3030590978997,7770.1429875370377,5802.5451927756749,2955.09212120862,2696.6832244658572
18,0.68000000000000005,14555.057313940657,8236.4131690198137,7744.0249744954053,5827.2603385077391,2950.4656525514638,2717.0112430461595
19,0.71999999999999997,14554.943564418358,8237.0779112098844,7732.0838267807585,5840.7478964852953,2951.7858448106344,2704.0268489677801
20,0.76000000000000001,14551.249296711158,8237.6876582375789,7731.9913342787095,5840.6885489956849,2949.7333860818344,2718.9165657538333
21,0.80000000000000004,14554.696388814029,8236.6986285713028,7743.5662139059541,5827.0147989317147,2950.7517989985181,2706.2734590623768
22,0.83999999999999997,14552.728495757161,8237.4218063652952,7733.0175371794894,5841.5246971070019,2946.6409649861916,2715.5260550586636
23,0.88,14553.570900310484,8237.4399995842796,7721.3912183293442,5855.3716469088959,2948.2945115605144,2733.2154402327951
24,0.92000000000000004,14553.733151239299,8237.4396476065267,7710.7231804860603,5871.2342900560752,2947.0114533579026,2737.1331662886305
25,0.95999999999999996,14556.711248862975,8236.2859637485326,7711.3358075248052,5871.4302060879909,2946.5391996539765,2745.6281584423714
26,1,14553.157205760892,8236.9360932071177,7699.5855332728815,5924.0550885998,2944.0622011445762,2742.2961561765505
27,1.04,14552.745022341163,8236.2842796407367,7700.5076887193864,5923.9759562794634,2944.967334516517,2751.060968304022
28,1.0800000000000001,14553.173238878686,8236.683507547199,7702.9334772903467,5959.7391292275643,2945.4267535234726,2734.6647426123463
29,1.1200000000000001,14553.560946288153,8236.9944577231017,7701.5632837223757,5925.8923334006849,2946.0397516759872,2749.3448412005673
30,1.1599999999999999,14553.705446357761,8236.6888020666192,7701.5733269627754,5925.8919199243701,2945.6418414393215,2742.4418438398698
31,1.2,14554.713061602588,8237.454645579166,7701.2943064963574,5943.9457494861026,2946.7306758463419,2754.1977724127382
32,1.24,14548.676297609227,8237.2267613150143,7708.6216040525351,5979.2560567309492,2947.5993013463085,2754.8881640307727
33,1.28,14549.415658265583,8237.2607002308905,7708.7350757239337,5979.2150877703298,2952.364779932102,2782.2668293867519
34,1.3200000000000001,14549.464623464728,8237.3440099555937,7722.7437245340425,6012.4355882662403,2952.1017269261761,2777.015799555038
35,1.3600000000000001,14548.150604575638,8237.7787552106583,7722.8146627497817,6012.4025216739392,2953.943949997737,2778.9057874972668
36,1.4000000000000001,14562.575071249919,8237.1132505188143,7722.895375615708,6012.3626415522431,2954.0801317268752,2775.638931105902
37,1.4399999999999999,14562.180347231439,8236.6155766434931,7718.0609547010508,6009.203779938036,2957.2627691630505,2785.1107325823459
38,1.48,14548.470702508706,8237.070488919413,7720.3234568345943,6013.5003150731927,2956.3201762078384,2780.4559478136225
39,1.52,14560.042016728587,8237.3214086829394,7720.6661648224353,6013.7961565770129,2955.222800668369,2778.9081065240271
40,1.5600000000000001,14547.690361196041,8238.096842311561,7724.6729201045446,6022.1021214791872,2958.0209924910014,2785.8296126475052
41,1.6000000000000001,14550.665596900693,8237.4428979357199,7729.3905375054037,6031.1230952295573,2960.9091634051283,2789.9125266599431
42,1.6400000000000001,14551.893064168231,8237.156088504069,7728.5967884942056,6028.3905532995814,2961.3549198442852,2791.1881661162688
43,1.6799999999999999,14555.562902060245,8236.8190517421408,7730.2278128366997,6031.8471387264362,2964.2947037981239,2792.7670458114389
44,1.72,14553.897165496583,8236.352639040364,7732.8869983506347,6037.5546054696479,2963.5225227716187,2791.0837843955405
45,1.76,14547.326645778376,8237.8876925872482,7740.8625914451222,6059.0880814104994,2963.8847036628385,2790.357926346489
46,1.8,14555.617700477969,8236.7419103926586,7742.0423657249303,6059.6512902349641,2966.1266100119128,2795.7973477904279
47,1.8400000000000001,14562.748604373224,8236.0449560615489,7737.9254066754793,6051.9916203966732,2965.6763198891349,2794.6603271223976
48,1.8800000000000001,14558.328116040977,8236.8689156168984,7739.3346461537112,6060.1716261585534,2969.7663465202249,2798.7679313099816
49,1.9199999999999999,14560.737648150358,8236.1830282739102,7744.3800219589957,6082.1227512594742,2971.413005760036,2800.3370778126191
50,1.96,14555.863562039574,8236.5244681555705,7741.1215823516659,6068.7665831226705,2971.2295704255166,2799.7780116705208
51,2,14554.322122422063,8236.8639278051487,7742.418749842047,6080.619723465983,2969.6824819977542,2797.3176783118352
52,2.04,14563.073187537426,8237.0292563166149,7744.6349057216776,6098.3724771718998,2968.7019807261149,2797.3496513427826
53,2.0800000000000001,14565.227773404997,8235.9890556697992,7745.2545373312105,6107.7553422491983,2969.4392650575551,2798.7067656410318
54,2.1200000000000001,14562.782688087811,8236.2172512056659,7743.696705620926,6090.5066856868289,2969.2984453242402,2799.1122683496524
55,2.1600000000000001,14571.875328039267,8237.0976392715475,7741.2136061036254,6081.2929330485449,2970.7185176238854,2800.5014828932581
56,2.2000000000000002,14570.852679921645,8237.3027605514944,7739.4681513433952,6125.6991276383869,2973.3163955781288,2804.3108499765995
57,2.2400000000000002,14570.762980737989,8237.5325160402808,7744.5588724839881,6067.09017058475,2973.7279228442339,2804.2430803541738
58,2.2800000000000002,14568.711195605772,8237.6602828378873,7745.2222180816789,6079.7996204628216,2974.1390988600801,2805.8870195248292
59,2.3199999999999998,14566.52657332027,8238.1155862062387,7746.48886667651,6086.1654638630462,2970.7217558550665,2799.1519458951634
