"Worm Data","Position (um) of Centroid"
"Sequence","VID00255.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y"
1,0,13671.334332479686,6713.8181063046104,13930.587130371474,6156.925638575065,3533.4017344149029,3611.9061197128276
2,0.040000000000000001,13676.981363128756,6712.2806846329786,13928.292900123328,6157.7118265695208,3537.0962032458033,3608.9786462546654
3,0.080000000000000002,13679.854424145251,6706.7427006727885,13923.595871989402,6156.320982273035,3539.3519020875351,3607.9461452523456
4,0.12,13681.528209674989,6708.4102592411646,13925.414868678599,6156.9581632199543,3536.4961970768873,3609.5602213911852
5,0.16,13685.635858562377,6703.3067524053695,13922.778894703437,6156.9918627951893,3537.6937883662754,3609.6519597504548
6,0.20000000000000001,13687.089043959697,6701.754843999126,13929.87269735434,6158.3872549905227,3538.2063861969064,3609.0961139887613
7,0.23999999999999999,13691.250705046414,6699.0304585431913,13925.722147051749,6156.8597900531913,3536.4481442645319,3609.0583008874974
8,0.28000000000000003,13694.018304030653,6694.2856709444459,13924.762647918298,6156.5470484493599,3534.6404141620583,3611.7735383882809
9,0.32000000000000001,13695.654129471199,6694.4018918598604,13921.212492847335,6156.4541810815899,3535.9418946534179,3609.2814089043459
10,0.35999999999999999,13701.525420614391,6687.1874177629015,13927.090447977855,6158.6882251547695,3534.7841370854649,3611.8331513909197
11,0.40000000000000002,13697.231824720053,6691.148802036596,13927.391532898659,6157.1992091585125,3534.8002517318023,3612.3306412214988
12,0.44,13714.157560832951,6677.9293272304421,13928.179532103048,6157.2441494274353,3533.4653796373195,3612.9490750380228
13,0.47999999999999998,13715.43954760688,6675.8915008424183,13927.676614747443,6157.4547476201842,3528.8857909882609,3617.590984562903
14,0.52000000000000002,13723.647825767675,6669.2007328213076,13926.792212634962,6157.6650042576939,3530.281262254377,3617.4585060707568
15,0.56000000000000005,13728.18205686201,6667.1459778422659,13921.460881553761,6155.6551010164021,3528.981072519101,3617.8769661775741
16,0.59999999999999998,13737.109442253668,6661.0961889214977,13924.157540581014,6156.9163000633253,3524.7111000170826,3621.7311223603811
17,0.64000000000000001,13743.150112230347,6658.4051692941048,13927.465589719724,6156.8003206182948,3524.7290080051666,3621.6532064183866
18,0.68000000000000005,13750.739722465567,6652.9877650613707,13928.242377627292,6158.2397244701369,3524.7827476915563,3619.4481683226659
19,0.71999999999999997,13750.585845650181,6654.0036893568795,13933.322237767496,6159.7642864687896,3528.184408529723,3616.3714456901671
20,0.76000000000000001,13767.88505882137,6649.3635780756149,13932.002419315644,6160.134512162047,3522.9257577924682,3623.4618759867017
21,0.80000000000000004,13770.368835032763,6648.896282534055,13934.767264540364,6160.7329863668801,3520.8147336558172,3623.1896999150531
22,0.83999999999999997,13781.480862124366,6648.9141946228565,13940.548555887881,6162.0801726879781,3526.2094612454607,3619.5605615813956
23,0.88,13779.258707756599,6648.9866114617889,13938.014900555658,6161.9980412039677,3523.549772436183,3622.8726724060298
24,0.92000000000000004,13787.883164121298,6648.3596745646519,13943.723765723527,6163.1717720598608,3519.2868096848247,3623.9289337814753
25,0.95999999999999996,13787.631038917982,6648.03417641335,13946.605569744685,6164.4220171632551,3520.1720273732253,3625.2596136657403
26,1,13795.084365594395,6647.7314725050928,13946.930770137655,6165.3340261959038,3523.1839164745916,3621.9589476594028
27,1.04,13798.274898702315,6649.2653658716363,13950.381328523426,6164.5065364729671,3521.9454549471261,3621.8151855882352
28,1.0800000000000001,13800.894402171811,6649.1914039324565,13952.673452163326,6165.3365344121703,3522.9825642122123,3621.6026977815654
29,1.1200000000000001,13810.329662735638,6653.4431079042497,13968.538148789014,6168.3681419863206,3520.0078612931252,3625.0799300069903
30,1.1599999999999999,13814.440637589947,6653.0991158143897,13974.071466678477,6169.0261648595933,3523.1997490155463,3621.9652284744334
31,1.2,13816.792936664748,6656.3510678651355,13968.689942506,6167.9228568338276,3516.2144415063417,3628.3777012949131
32,1.24,13826.396815660317,6660.3641207322125,13957.447369806958,6166.0970683551332,3519.9775167521329,3626.8720404576779
33,1.28,13828.557599143187,6661.0052514188865,13960.476987550099,6166.863448493199,3519.7716319815981,3627.5669139529973
34,1.3200000000000001,13832.540881770361,6662.2242590205133,13963.270425288172,6167.5746345691823,3517.0477585209705,3629.5500833675242
35,1.3600000000000001,13830.200372084098,6660.775235140145,13978.771533179448,6171.2259174644933,3518.0025709460269,3626.2513296757634
36,1.4000000000000001,13835.449777712643,6664.6880904790423,13967.222309443849,6168.4648243305946,3520.0450182805002,3625.4947766545856
37,1.4399999999999999,13842.091846286225,6668.7213052618481,13969.29204971436,6168.6794343185666,3515.7864484059523,3629.6623931418917
38,1.48,13855.722108291562,6680.0599887180779,13974.398073734748,6169.8090296742903,3522.1327508922609,3623.5545580161024
39,1.52,13852.61218957012,6677.5092130886496,13978.505336978191,6170.5180253926974,3519.8788936107421,3626.4052315078479
40,1.5600000000000001,13851.881182873449,6676.4463863431647,13976.795259330469,6170.4140685986076,3521.5987189030088,3624.3255487487504
41,1.6000000000000001,13858.142717258548,6682.2928524264589,13980.331987217583,6171.0403437380673,3521.1460520150481,3623.763778810373
42,1.6400000000000001,13859.157386552277,6683.7148776788526,13984.072256031295,6171.9052750566625,3521.0945766397422,3624.4088017195018
43,1.6799999999999999,13862.573261680785,6687.0175549913611,13989.282731522928,6172.4632991188855,3523.561865769314,3620.5174050119267
44,1.72,13868.99180961779,6694.8988125677661,13991.832385321324,6174.129051712167,3522.364321410882,3621.1465414364493
45,1.76,13870.985259666784,6694.1550076052808,13990.59855045165,6173.9872293354401,3527.3750752500191,3617.5071586869135
46,1.8,13872.907460233222,6699.4906815899549,13993.808765039103,6175.4007708808967,3527.3863722852616,3617.2378715502709
47,1.8400000000000001,13877.627320361038,6703.968742926254,13997.080948939436,6175.0608210257215,3522.321347248238,3621.9407109478452
48,1.8800000000000001,13878.75916013453,6709.7263856331019,13999.662849706694,6175.7372614764236,3526.0915325587248,3617.6777612042952
49,1.9199999999999999,13880.971742836176,6711.6899463052305,14006.678016141019,6175.4432627801607,3525.3348454980296,3617.9796246962478
50,1.96,13882.727425831728,6715.2092280625538,14011.968779814526,6177.3558414792142,3527.1083373981592,3614.9867588426005
51,2,13890.275533074389,6728.6731777189934,14026.915259675379,6175.9922940093929,3525.0476820291005,3617.0305954713576
52,2.04,13891.120004378747,6734.2904138218673,14031.907434174635,6176.1294045386876,3528.7907033209731,3614.6094744280917
53,2.0800000000000001,13894.968334476089,6739.7411958014745,14032.668037796106,6176.2685280975211,3521.3810332389712,3622.7295274456656
54,2.1200000000000001,13896.636474782294,6743.1379860115812,14047.183972295246,6173.3043233756689,3510.1296393625526,3634.1348939208674
55,2.1600000000000001,13898.111795671079,6747.2503174827307,14053.740838007696,6172.1236258759272,3512.3020250520635,3632.8939849814169
56,2.2000000000000002,13902.862539622794,6756.4438636546847,14065.363025913743,6167.0524748593252,3513.9286954826271,3629.7479572383863
57,2.2400000000000002,13904.432924433948,6760.5459178593965,14072.008616978437,6164.801228756618,3505.2170916503455,3640.2148283039596
58,2.2800000000000002,13902.376216491137,6759.3641178401103,14085.328262857003,6158.0145533536615,3500.9082757111705,3644.818209843168
59,2.3199999999999998,13911.88057554234,6775.6699832419426,14088.487769249385,6155.8348500273441,3503.1593784977076,3641.5767042244806
60,2.3599999999999999,13913.814764561661,6774.665886199391,14094.059685219354,6152.0965572305122,3480.5311624699516,3675.0248294037601
61,2.3999999999999999,13917.478412772391,6778.8091260497458,14104.036617748352,6144.5789260172332,3473.5374264419042,3687.1293653153634
62,2.4399999999999999,13915.34471909141,6773.9211326025725,14109.561564769545,6139.625997886189,3472.5007618954041,3688.3884568294461
63,2.48,13919.852130590136,6778.7613946262336,14111.012009327056,6138.2839514817479,3471.6688637815741,3688.5247684449696
64,2.52,13921.811536035479,6778.0544158163611,14117.33482631908,6133.3096595428678,3468.878186590628,3694.5315628425997
65,2.5600000000000001,13926.864787068807,6780.800125594491,14125.418375336249,6123.305654247446,3463.6896293278987,3704.1284158257777
66,2.6000000000000001,13930.291827164096,6783.6253458883093,14131.971381697436,6115.0337537644373,3464.3984135072451,3700.9231441803349
67,2.6400000000000001,13933.802559764248,6786.4813562490453,14132.820931073522,6113.0131858590794,3456.8528103333074,3715.4823676674714
68,2.6800000000000002,13929.127488295613,6781.9755845363761,14138.088597429853,6106.3132398693142,3460.0222315141305,3708.3414770210347
69,2.7200000000000002,13941.697899507149,6791.3042024964998,14141.766597530897,6100.4865642066925,3459.1550820686825,3711.0963587852029
70,2.7600000000000002,13939.059157607504,6790.8934049053232,14148.058063733451,6089.7882449454646,3454.4105680883695,3715.6693297441934
71,2.8000000000000003,13957.123080962348,6799.0860672611088,14150.238767121882,6086.985880358804,3454.078011382152,3717.2925024904862
72,2.8399999999999999,13964.016084294726,6800.5564173317871,14150.455679971299,6086.6812086534437,3452.8817697236464,3719.405411052343
73,2.8799999999999999,13953.040564636331,6795.1748941516962,14153.306780267256,6079.9880061759786,3447.693409389236,3728.1519709362974
74,2.9199999999999999,13968.645884219535,6802.2953884347853,14155.291932680291,6077.2153614300614,3445.8669028547292,3729.5250551665122
75,2.96,13973.471837899355,6802.5960639481491,14157.230779250665,6072.9111089942298,3448.40405712966,3726.6868339901557
76,3,13975.168553942496,6803.9869380622295,14158.568673599759,6071.7303874564523,3443.8365139766297,3732.1650444876632
77,3.04,13979.774794721356,6804.9816243213172,14160.0469645021,6066.9479989215743,3444.35534055475,3733.7755841421294
78,3.0800000000000001,13980.36394067232,6805.77692479301,14160.796105198639,6065.7949891851267,3439.6848289218956,3741.0013741797729
79,3.1200000000000001,13980.298084094738,6803.048768705733,14160.258845402508,6064.7710854933548,3443.9806040907883,3734.9226606080074
