"Worm Data","Position (um) of Centroid"
"Sequence","VID00031.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y"
1,0,8796.2767182808366,9001.8473154381882,12448.890840512813,5880.414665509822,14080.123902057365,5051.3030120574895,3221.3288076747899,2808.476355495015
2,0.040000000000000001,8797.3602730989915,9002.31874133987,12431.162045238478,5869.3143786538158,14091.990040985736,5050.8232206335952,3215.2227298107791,2820.6969404558704
3,0.080000000000000002,8794.9491777490202,9005.6663768290255,12422.900856573042,5865.9183382656865,14094.121795078026,5049.2159253752452,3209.9865336554726,2833.408212996309
4,0.12,8793.9392113705453,9005.3449923855333,12422.152171918984,5866.4247980333803,14107.954460593748,5043.0140979634807,3202.4429362397532,2847.163381147112
5,0.16,8786.0794413149979,9012.6534206227479,12419.4206265016,5864.9713966577337,14123.008072668528,5037.7148608099078,3193.0486095441697,2858.4111149281625
6,0.20000000000000001,8788.0188162760551,9011.0016317301379,12413.681842866185,5862.498680218343,14133.607881627002,5031.7919109581408,3184.1073012056918,2866.9212567312961
7,0.23999999999999999,8792.6750030570984,9006.6761020826598,12410.993091209972,5859.8314277692343,14144.50998505367,5021.9219231814113,3173.4089093573803,2878.4293785273658
8,0.28000000000000003,8779.6941220763129,9016.7131457824507,12407.340061935107,5859.0326418765244,14163.754176375074,5003.5805740170927,3171.2478491012193,2878.9936595888375
9,0.32000000000000001,8774.9224462735383,9017.542089461238,12404.114614278902,5856.8390770132919,14174.648474670534,4990.7440738922851,3162.5214189913595,2887.7132354653759
10,0.35999999999999999,8771.7469153127458,9019.0732803781466,12402.453868718383,5856.2335393106023,14180.134614006533,4979.4533143434428,3160.3937475459902,2885.6503963323694
11,0.40000000000000002,8764.7097451106456,9022.9929930025573,12402.528508028559,5856.0760207911862,14188.960012326497,4966.8639213125953,3145.0378171431139,2904.0805521362154
12,0.44,8751.937079194744,9032.4259995728826,12398.44602882244,5854.8894591723283,14186.383079112053,4965.0360079165639,3139.0907199424933,2905.2110397374454
13,0.47999999999999998,8746.2445377081458,9034.0705434348911,12407.837830497985,5860.4634829190691,14189.662312326667,4955.3596966729838,3126.3479850179742,2920.3826145479206
14,0.52000000000000002,8738.3224093495355,9039.2134806778613,12377.624484014346,5838.9648015978746,14195.768516915508,4942.1205710012646,3119.8719479931246,2927.552526463578
15,0.56000000000000005,8734.3742139739461,9042.3756269358364,12388.290221594421,5846.5482323825308,14200.383060146987,4932.5945695552573,3102.6639177180214,2958.3507250520579
16,0.59999999999999998,8695.8428847211999,9074.2803487006458,12388.289205793397,5847.9237970244576,14206.77805978088,4920.2421875494556,3094.422808708312,2983.7126492222615
17,0.64000000000000001,8692.1165863199367,9076.8083673143938,12390.382222959381,5849.1717500891255,14210.93961564677,4913.952719494614,3093.9033970643231,2995.4173976495931
18,0.68000000000000005,8685.6992907645563,9085.781020979297,12367.120515747965,5830.6307580793273,14209.667674799744,4913.3881857395627,3092.2465832647845,3002.6715939644628
19,0.71999999999999997,8684.3013943453279,9087.9986693605206,12371.509650779913,5835.6930667663346,14210.889897362104,4909.7247231000201,3091.1956355336192,3016.2993366920473
20,0.76000000000000001,8682.7565997927541,9089.2994021249287,12363.15851269518,5828.9881881791844,14212.642047735675,4910.0719457276118,3091.9997461407538,3024.4915890985567
21,0.80000000000000004,8680.2553233237923,9094.8079291716786,12363.683449099985,5828.392016426068,14210.185213109675,4908.8885786084466,3093.3641126353559,3033.2065030342619
22,0.83999999999999997,8680.917574539013,9093.9107528725726,12360.540260237471,5826.6054827327716,14214.565502381762,4904.5273507632064,3094.6425764348828,3041.9131321430959
23,0.88,8686.151478420672,9086.8671610074343,12336.024344877902,5792.9413473460527,14214.486463448347,4903.4733549879629,3096.3879241330164,3047.7965076435157
24,0.92000000000000004,8677.959029715139,9099.3013440639588,12330.166539119777,5780.0413340154382,14214.921692104459,4899.9674939199176,3101.8037245789915,3059.1668496981911
25,0.95999999999999996,8670.2819402314599,9117.6812260395745,12324.359003770414,5764.7459380291875,14215.710784647452,4898.6423268292947,3105.3411006087513,3066.052028775136
26,1,8675.9480150927884,9103.2206449496916,12323.189819515643,5760.2230617525001,14221.64099070685,4888.8766249320206,3112.035499819011,3075.6781394113304
27,1.04,8677.0806805364664,9105.4369897504548,12322.031118295281,5755.744085772265,14220.551981840033,4887.4138781554138,3116.3171178889029,3081.0717558601191
28,1.0800000000000001,8675.9323181042073,9106.9060782730321,12323.912546311582,5765.0224470130115,14223.053996611219,4884.1043872977079,3120.1792615664954,3083.2071069378107
29,1.1200000000000001,8677.4608708053656,9109.4883999269368,12323.122976852168,5758.0347795200196,14224.304468100421,4884.4351759399133,3123.2042640738373,3082.6700871359981
30,1.1599999999999999,8673.290308899177,9113.72514449148,12322.896833986792,5757.5691838255752,14224.03058428576,4882.7222120124079,3128.9801364177702,3087.1788039798103
31,1.2,8675.9654406114423,9109.7921243216497,12327.816761589766,5729.4780980097321,14222.011834172408,4881.6201605831866,3136.7781347948971,3092.8042058156443
32,1.24,8683.3803470939274,9098.7800046910379,12321.440340509314,5727.3227066661211,14221.400494043241,4885.2776929711681,3148.5306409963364,3100.1887686790778
33,1.28,8682.2335360494453,9102.4956240954125,12322.43976903317,5720.2269543302455,14224.762024743059,4880.4538063759583,3153.7707200936525,3102.9785328738026
34,1.3200000000000001,8672.2214323433709,9123.6174911634316,12325.832846013021,5707.3473316335367,14223.763406385497,4882.9638777217415,3161.7538380153087,3105.7426993689796
35,1.3600000000000001,8670.6706420395276,9148.6959890377202,12329.337027339094,5699.4935343692705,14220.740409498783,4888.6835403774821,3180.6861779561218,3119.0144293831108
36,1.4000000000000001,8670.8761931765312,9155.7207309434361,12330.070773497691,5696.7312797755731,14219.983690022465,4888.7886572390435,3165.5258808026942,3111.7708558305476
37,1.4399999999999999,8670.5773302334474,9155.5316600599526,12331.955413878106,5692.2530579079721,14218.468310848648,4892.5323121299189,3164.2889506199995,3110.6278588403165
38,1.48,8670.2352014742355,9139.9375437925009,12338.212136837808,5680.9453966908013,14222.285497387209,4885.5425514373137,3160.4993610050033,3108.5716632541607
39,1.52,8669.5547122049757,9159.2600083279067,12338.78376590635,5678.6660003930347,14222.932682870349,4882.257632415156,3155.4621537838393,3109.0345907601304
40,1.5600000000000001,8669.9454874568873,9150.9761627042935,12339.382125245726,5677.2581293639605,14224.211766613776,4879.3593065417699,3148.4912367746056,3102.6903464910529
41,1.6000000000000001,8670.4937885662293,9151.6169497535066,12361.603513016968,5649.7648261480126,14223.98671721776,4879.2513395486831,3146.318855374343,3102.5317911937109
42,1.6400000000000001,8670.9788991216174,9148.5615389809627,12352.963927923583,5661.8368512588568,14223.71988502436,4877.5324520668446,3134.9707501054872,3088.0220285667565
43,1.6799999999999999,8671.2899531584371,9149.2270791357314,12365.447765457118,5649.373565088782,14228.877506509634,4873.648828355098,3130.5700246290548,3082.9446688930457
44,1.72,8669.8850775794454,9147.6391128609212,12362.550845376411,5652.2566541460137,14233.27686119128,4862.5971572302687,3128.3792952061267,3075.2607469651857
45,1.76,8671.4665780256855,9163.0884168475113,12365.711027850066,5649.298188774048,14234.462024787006,4861.3838494129313,3126.4233231073649,3070.7290146428013
46,1.8,8672.48516991818,9169.7312205096387,12363.890025274748,5647.1025279449177,14234.1260211639,4861.1693730857123,3126.5310956050175,3066.2011706509202
47,1.8400000000000001,8668.0691371652974,9158.7285796704673,12379.041392350848,5637.9235990185789,14243.055640570929,4847.9818029805429,3127.5665294490409,3064.6598588201568
48,1.8800000000000001,8669.1396618186409,9163.7857480224175,12379.67171264291,5639.039331396888,14243.408560472441,4848.2793244292952,3127.8223063076775,3063.081191616031
49,1.9199999999999999,8673.7279301746221,9170.7933584491093,12370.781611827373,5647.1199219809741,14248.58784181412,4843.5466578308824,3128.5050676993324,3058.99275533745
50,1.96,8671.3995312020688,9166.21503784577,12375.758795370733,5643.935778544309,14248.540000592164,4843.5104462239506,3128.0344174193547,3047.5599404811855
51,2,8676.9305702640795,9181.5273652593914,12407.741524957382,5631.2544492635416,14258.583604800961,4831.2085404063882,3129.6167484024281,3044.4760573231697
52,2.04,8676.1898796334917,9180.9235350818562,12390.807560532325,5634.7375140908516,14265.574210678917,4828.859368478541,3132.6485125589361,3040.2135442484678
53,2.0800000000000001,8701.2284241575944,9222.3333604165764,12394.065205724319,5635.6697450981483,14281.214131906601,4818.5817245837088,3134.8048604490632,3019.1532156510984
54,2.1200000000000001,8706.0941753714123,9225.9586147857754,12398.224812346549,5634.9127067647232,14280.184506246746,4821.833060631986,3140.4556263457198,3003.2773772831524
55,2.1600000000000001,8709.6584318279165,9227.0155932056496,12405.62079376017,5633.7128894563248,14284.79808091857,4817.5478486605489,3145.1234259312769,2990.6680383866178
56,2.2000000000000002,8715.094992542392,9233.2882766762668,12417.492943508127,5632.9325605003987,14289.47630732076,4816.213706507182,3149.3156000483655,2981.1019874591502
57,2.2400000000000002,8721.5521556026688,9237.3718972405022,12429.390914824919,5634.1665103854666,14298.515305850597,4812.6767832666674,3157.2769639379799,2961.0935874553925
58,2.2800000000000002,8727.8058270563324,9243.6457286024161,12442.093543330951,5635.4615456132942,14300.975005051469,4811.5661717795219,3164.7516149376547,2948.8233985095303
59,2.3199999999999998,8740.7997139402305,9253.7482868925399,12451.971157806976,5637.2680476439327,14303.994157695943,4811.8567205439585,3175.5305389018204,2932.5206060053542
