"Worm Data","Position (um) of Centroid"
"Sequence","VID00069.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y"
1,0,2397.9657945905346,8820.1107357500841,13564.757714058702,6116.2786646511659,14493.060823256665,5081.2813316047313
2,0.040000000000000001,2392.063171392309,8813.7059024179434,13565.646977792625,6121.7602248907879,14489.124833342787,5084.1619739570142
3,0.080000000000000002,2387.8456222353948,8807.8258568468009,13562.685382897385,6111.0968214505301,14484.115923216925,5089.0555055265268
4,0.12,2382.3263517561495,8799.5089612232732,13563.448637916988,6109.8570154721383,14480.932627554839,5091.0670818810286
5,0.16,2378.9723413343418,8794.900747474514,13563.035535147281,6111.0511410866438,14476.994249596708,5093.9744305220802
6,0.20000000000000001,2378.1448298758983,8793.1389100782544,13564.744699146278,6114.0747122262965,14474.134225814842,5097.8035606884205
7,0.23999999999999999,2372.4069392460046,8783.1969278384804,13566.117650250892,6114.1320445980255,14471.459442518959,5099.7918533924621
8,0.28000000000000003,2365.1113449088612,8771.6570063535364,13563.604353068247,6109.1831527052545,14467.48178585166,5102.5755872194059
9,0.32000000000000001,2358.6667184204166,8757.7005545928932,13563.982525591844,6108.7887740112483,14467.398090333094,5102.4626812138849
10,0.35999999999999999,2352.2390840572234,8744.5496849331576,13565.781495236002,6114.7788241020135,14464.697552500909,5103.4153360592945
11,0.40000000000000002,2345.6733027801242,8732.665099069005,13567.963180714549,6117.568196935732,14464.151702057265,5103.9973862585857
12,0.44,2342.2827934010102,8723.3828360990919,13570.661001976132,6123.6635148562627,14464.254892522735,5104.1489113395337
13,0.47999999999999998,2339.6296403438168,8719.3573361325471,13572.499890976853,6127.630452594969,14462.691061574433,5104.8649911062985
14,0.52000000000000002,2329.4705328758414,8706.5495635308216,13574.608393757195,6135.4550986349459,14458.432421882351,5108.8720412805596
15,0.56000000000000005,2330.7425423080158,8705.4935341743694,13577.679612701051,6142.4312241151438,14458.499937719878,5107.65288057208
16,0.59999999999999998,2325.004535573969,8700.3243786271905,13577.813308808909,6143.35544713541,14450.917097425761,5114.359052574865
