"Worm Data","Position (um) of Centroid"
"Sequence","VID00143.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y","5 x","5 y","6 x","6 y"
1,0,15133.686683763121,8108.8968760056487,16039.724758398745,7893.0378563365857,9874.0451948381105,7243.2545472234942,16508.214076117976,6417.894337835598,6347.7041535233184,3914.3064510709319,1865.2118420249435,1676.2818062115493
2,0.040000000000000001,15122.787393118067,8120.2613756264527,16054.49900413469,7895.2574622492721,9872.9844218425569,7237.1096221395146,16502.741863903146,6435.0701897359068,6349.047197676332,3916.5563494938997,1878.0336327156663,1667.7658277708961
3,0.080000000000000002,15104.395064090369,8133.9502117900465,16072.326110831418,7895.2527432720763,9871.7306679095946,7227.5636490879206,16501.774760660493,6439.3209355788276,6354.0489083062039,3922.541277471867,1882.3805289933941,1665.5491860499678
4,0.12,15092.097998385671,8139.2909526144722,16077.407234998522,7896.5790620923499,9870.7710332924817,7217.4597194857906,16497.629000978915,6452.1502050375238,6358.761557145066,3929.9645798920474,1885.0215577248289,1663.3011085965591
5,0.16,15079.395693136648,8145.6160655668227,16076.946395874751,7899.3760873499978,9870.3262414033707,7204.7645986591951,16493.017583283032,6462.2641609834682,6367.298882999663,3937.6492569931497,1893.0301800901227,1661.9722188176493
6,0.20000000000000001,15072.950488810968,8147.9585793382394,16074.101495570048,7902.0342245165639,9870.4509801894528,7196.8347103698943,16489.566965310161,6468.8388565225096,6370.8898509111268,3941.5824770900408,1901.2304044149614,1657.7220396236899
7,0.23999999999999999,15057.823472032504,8150.3432532860243,16084.781532815119,7900.5995038038682,9867.8040337450366,7189.7940338565322,16486.117564253298,6479.1624161287109,6382.9358009647485,3954.2856350957754,1901.9821883457894,1656.9050009666826
8,0.28000000000000003,15039.036960938412,8151.9309790497009,16088.261438277355,7900.7136002019397,9865.5716992150956,7183.8098379784242,16479.915260149581,6492.0345915961207,6388.9622611145132,3957.9932306775563,1913.3284197726723,1656.9240426530705
9,0.32000000000000001,15014.155357964462,8146.3161326034005,16097.897707151082,7898.5445404908214,9866.8534069554371,7175.923273203266,16472.837673173937,6506.2685288159601,6402.7507201936096,3974.6215691778571,1902.4059300677845,1657.9866263062504
10,0.35999999999999999,15008.489529412114,8140.8504798789345,16109.083977734652,7894.1837661165064,9870.15061367626,7160.7868428257389,16467.542960381907,6515.4119017385256,6411.5382517753678,3985.3845528204674,1908.3745869282598,1657.4892773481515
11,0.40000000000000002,15000.375928273081,8136.4554658730904,16110.274377172707,7894.1171537245154,9874.3812817555681,7146.732022506988,16462.451220301453,6523.6289561552076,6424.8467130021827,4009.1817382883519,1917.457795006062,1656.7994545474139
12,0.44,14993.536122213105,8128.4748691032019,16115.513572662805,7891.7378312341889,9870.339067206698,7157.3981766635297,16457.220116927478,6528.7813135211718,6434.050646203852,4028.8742523584397,1921.3830045280708,1657.0777457579061
