"Worm Data","Position (um) of Centroid"
"Sequence","VID00181.AVI"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y"
1,0,1991.3042005556697,8424.9302432403201,8186.6319156267782,7835.9064747334842,4672.1996351255175,7466.0559342170154,15391.312791602661,2850.5862791217141
2,0.040000000000000001,1993.4730911331174,8424.1093408509078,8186.8014224423077,7831.4972521205618,4668.574587370118,7468.2908282233529,15387.263284821249,2859.7789977574585
3,0.080000000000000002,1999.1590020716185,8422.074598641575,8186.0162206109399,7848.6248069045923,4661.843198021631,7471.3516419981188,15386.427463382035,2862.3734496340476
4,0.12,2000.5588784450304,8420.1508550830604,8186.162066701042,7837.0284144350917,4657.3054581479628,7473.4901580206642,15387.05811457422,2861.0469712842041
5,0.16,1997.371004467622,8421.3012912828144,8188.1470898851458,7860.1803469250881,4651.7737988697745,7475.0704781538079,15388.784987253042,2856.3293711746155
6,0.20000000000000001,1986.0033880425556,8426.8944872285138,8186.9820560317658,7854.5630616847639,4651.0083320432295,7473.9764259987496,15378.397187386287,2889.2470259391948
7,0.23999999999999999,1988.651029205965,8426.2616881473223,8187.6782356360673,7857.4762110441334,4659.1005512471484,7469.6351871300303,15377.090521195247,2897.2117042759673
8,0.28000000000000003,2005.543554763133,8419.4833200220746,8189.5904071125497,7863.0549952279762,4646.1292745265773,7473.288355646625,15375.278089426887,2904.6518847813668
9,0.32000000000000001,2005.1834541194526,8419.3965214506661,8196.1097314478484,7879.360057314535,4647.9960050418877,7470.9876391472253,15373.22617322724,2915.5377624483172
10,0.35999999999999999,2005.7859754289593,8418.118164181913,8199.411167411623,7885.8429555331695,4660.282878136034,7464.8383186933297,15366.343908261018,2937.2713579351621
11,0.40000000000000002,2018.5257046982933,8409.0880855183914,8204.8541390375285,7891.9013920215675,4644.4251366851704,7470.3065096058635,15365.634007831653,2943.6536756028727
12,0.44,2011.6973825444625,8416.761405929703,8200.2413266686272,7881.9085623978917,4652.0160084866748,7465.0883745706342,15362.437470235125,2954.5030523996211
13,0.47999999999999998,2012.0919578836622,8416.6308563314524,8211.2610305130565,7895.7459033398482,4637.8068364976943,7466.8616368301573,15360.583849571967,2959.9717236498182
14,0.52000000000000002,2016.5953403579119,8415.6255071366704,8215.3382505186546,7900.5446388635946,4646.7074231167662,7463.260700699454,15354.309822158308,2971.8508232918921
15,0.56000000000000005,2016.1851648451948,8414.8380909363259,8218.5429408224863,7903.0813344119251,4646.2622719351621,7463.6885922235506,15349.962980726168,2983.413178043048
16,0.59999999999999998,2015.2529103440165,8415.9858520624075,8219.0681062942149,7904.1889704701889,4642.5491839941405,7461.207049078932,15343.68394192533,2991.8533102234578
17,0.64000000000000001,2023.4717756886268,8412.6332860750845,8223.1649872743546,7908.3973115125573,4613.2791824611058,7467.6162939344176,15337.734633897411,2995.6619381661803
18,0.68000000000000005,2025.2186310118873,8413.5305686848187,8223.1473925519422,7906.9947628095724,4621.8297217023419,7463.8104396545732,15329.407948423241,3006.7979393949581
19,0.71999999999999997,2029.8385830340537,8410.1367056357885,8229.3035454829369,7910.625256949801,4582.4412287418218,7463.1987290152338,15318.345927347473,3015.6322518622674
