meanspeed,medium,bacteria
112.48880812871504,DA,BL21
112.9837256070353,DA,BL21
134.3434771554229,DA,BL21
101.62903742882176,DA,BL21
114.1652741908414,DA,BL21
106.25338888875218,DA,BL21
101.5009434068145,DA,BL21
250.8558748048852,DA,NGM
267.886567277416,DA,NGM
242.31473004091475,DA,NGM
269.4078549584376,DA,NGM
243.7469657280074,DA,NGM
237.90954858271627,DA,NGM
277.7169609318966,DA,NGM
214.99340786895576,DA,NGM
242.21079573408963,DA,NGM
271.1715201858551,M9,BL21
225.59109859306201,M9,BL21
271.7123248957699,M9,BL21
252.06944402228808,M9,BL21
176.27248003919965,M9,BL21
224.1341388385892,M9,BL21
232.9427526958274,M9,BL21
156.56123068468568,M9,BL21
192.48816516214873,M9,NGM
235.97966782484085,M9,NGM
253.11593611148626,M9,NGM
269.2183750252995,M9,NGM
259.0667187763654,M9,NGM
225.8422647966384,M9,NGM
233.40652682726184,M9,NGM
224.72414781783036,M9,NGM
235.87476061697808,M9,NGM
350.43043800292065,M9,NGM
253.51504810929913,DA,BL21
151.83131968208892,DA,BL21
125.14031722850062,DA,BL21
111.25345175860721,DA,BL21
101.03860830423555,DA,BL21
124.34316778404792,DA,BL21
173.64029535001598,DA,BL21
265.33864979091607,DA,NGM
271.46670919376163,DA,NGM
293.07007613718014,DA,NGM
221.1333296466838,DA,NGM
215.5515083270576,DA,NGM
233.51011791558756,DA,NGM
241.05808494271545,DA,NGM
200.47871772178507,M9,BL21
275.41505026412455,M9,NGM
312.8702181929517,M9,NGM
198.49150301912667,M9,NGM
290.10385217270783,M9,NGM
294.8719113201164,M9,NGM
234.82827348301515,M9,NGM
311.2522803627247,M9,NGM
217.41571566034045,M9,NGM
156.06654275151288,DA,BL21
146.72936545203868,DA,BL21
71.27186117256677,DA,BL21
91.66587241337852,DA,BL21
117.7954291241097,DA,BL21
134.78309533752065,DA,BL21
109.76312917451133,DA,BL21
107.8958465599097,DA,BL21
137.6856223605621,DA,BL21
70.47725610602494,DA,BL21
105.70449579785942,DA,BL21
273.090311814056,DA,NGM
261.9087473079999,DA,NGM
174.09791949551425,DA,NGM
222.11293633130262,DA,NGM
269.8816143006248,DA,NGM
229.72942025902807,DA,NGM
256.3481337269331,DA,NGM
234.63254391641047,DA,NGM
194.45843647872059,DA,NGM
238.4550006886183,M9,BL21
251.13090385629872,M9,BL21
239.55251020433718,M9,BL21
190.03371827618759,M9,BL21
269.4807875561395,M9,BL21
230.07129848232202,M9,BL21
245.66461176452984,M9,BL21
154.91737910686558,M9,BL21
271.4857171349601,M9,NGM
270.5901450287139,M9,NGM
265.1646529150607,M9,NGM
298.841541042654,M9,NGM
217.40714876316218,M9,NGM
165.55303176720074,M9,NGM
182.99886981233246,M9,NGM
125.10052301451606,M9,NGM
261.56260141213073,M9,NGM
251.93731648525088,M9,NGM
