meanspeed,worm,bacteria
94.87495891905301,N2,BL21
146.50664767903606,N2,BL21
89.3768290089247,N2,BL21
62.773628560428705,N2,BL21
74.4601453108228,N2,BL21
93.46292938174928,N2,BL21
98.26104999083445,N2,BL21
97.71713081710061,N2,BL21
278.4868563199879,N2,NGM
259.73867246675485,N2,NGM
188.75289293456638,N2,NGM
222.29107742918842,N2,NGM
112.48880812871504,CB,BL21
112.9837256070353,CB,BL21
134.3434771554229,CB,BL21
101.62903742882176,CB,BL21
114.1652741908414,CB,BL21
106.25338888875218,CB,BL21
101.5009434068145,CB,BL21
250.8558748048852,CB,NGM
267.886567277416,CB,NGM
242.31473004091475,CB,NGM
269.4078549584376,CB,NGM
243.7469657280074,CB,NGM
237.90954858271627,CB,NGM
277.7169609318966,CB,NGM
214.99340786895576,CB,NGM
242.21079573408963,CB,NGM
184.19665086851035,MT,BL21
95.93949304920044,MT,BL21
103.72541073255383,MT,BL21
109.59440422159724,MT,BL21
128.03935806038862,MT,BL21
82.09859343647572,MT,BL21
179.59853112978647,MT,BL21
74.38974612238785,MT,BL21
93.64292084066854,MT,BL21
54.67784741959094,MT,BL21
203.15310940775018,MT,NGM
132.41480754317547,MT,NGM
247.27410307763955,MT,NGM
169.45048714951656,MT,NGM
270.54171771275594,MT,NGM
174.54170674454062,MT,NGM
285.65587064776423,MT,NGM
89.50795920440693,N2,BL21
99.8379577775398,N2,BL21
87.4881289515402,N2,BL21
78.22460093317632,N2,BL21
65.41614132034017,N2,BL21
131.78633862440194,N2,BL21
108.5627612020275,N2,BL21
115.7869885732573,N2,BL21
139.86524963497138,N2,BL21
162.40681776011164,N2,BL21
121.9614321812582,N2,BL21
154.00616297145618,N2,BL21
117.63290250370987,N2,BL21
307.7228277720262,N2,NGM
243.20492766022628,N2,NGM
261.80666709430045,N2,NGM
297.7833067881764,N2,NGM
175.1734733506949,N2,NGM
264.62071084721964,N2,NGM
234.0680426481393,N2,NGM
278.42813408153137,N2,NGM
259.6615282764401,N2,NGM
253.51504810929913,CB,BL21
151.83131968208892,CB,BL21
125.14031722850062,CB,BL21
111.25345175860721,CB,BL21
101.03860830423555,CB,BL21
124.34316778404792,CB,BL21
173.64029535001598,CB,BL21
265.33864979091607,CB,NGM
271.46670919376163,CB,NGM
293.07007613718014,CB,NGM
221.1333296466838,CB,NGM
215.5515083270576,CB,NGM
233.51011791558756,CB,NGM
241.05808494271545,CB,NGM
173.9285430846126,MT,BL21
115.83278354104458,MT,BL21
155.1617128853186,MT,BL21
167.97820024713718,MT,BL21
71.98179245802372,MT,BL21
127.08691148172267,MT,BL21
219.11305222709956,MT,NGM
239.61549873476852,MT,NGM
223.42236035940243,MT,NGM
250.27155419526827,MT,NGM
232.6354747403514,MT,NGM
175.72757447737638,MT,NGM
144.7176886293484,N2,BL21
150.88601164103736,N2,BL21
158.5458994222018,N2,BL21
132.88834317897792,N2,BL21
175.2204092467168,N2,BL21
182.90840587614014,N2,BL21
110.54015052882778,N2,BL21
101.35619907987508,N2,BL21
117.91586100575128,N2,BL21
134.74694560147012,N2,BL21
145.46790624302255,N2,BL21
260.9760398875488,N2,NGM
241.97125237778297,N2,NGM
249.40118486222488,N2,NGM
194.0521944291662,N2,NGM
216.72380625183467,N2,NGM
120.88658239221799,N2,NGM
226.9608240381267,N2,NGM
179.82695579026506,N2,NGM
156.06654275151288,CB,BL21
146.72936545203868,CB,BL21
71.27186117256677,CB,BL21
91.66587241337852,CB,BL21
117.7954291241097,CB,BL21
134.78309533752065,CB,BL21
109.76312917451133,CB,BL21
107.8958465599097,CB,BL21
137.6856223605621,CB,BL21
70.47725610602494,CB,BL21
105.70449579785942,CB,BL21
273.090311814056,CB,NGM
261.9087473079999,CB,NGM
174.09791949551425,CB,NGM
222.11293633130262,CB,NGM
269.8816143006248,CB,NGM
229.72942025902807,CB,NGM
256.3481337269331,CB,NGM
234.63254391641047,CB,NGM
194.45843647872059,CB,NGM
144.506736353121,MT,BL21
199.53775357094972,MT,BL21
246.41394196333002,MT,BL21
94.59521037984918,MT,BL21
174.97441189494643,MT,BL21
214.1322642915891,MT,BL21
68.46988964984352,MT,BL21
89.98218375418219,MT,BL21
68.31684115642385,MT,BL21
77.9618898926214,MT,BL21
254.08419644324383,MT,NGM
293.0844059840354,MT,NGM
117.08174201483948,MT,NGM
233.09817564515006,MT,NGM
184.74641026024156,MT,NGM
217.36617501188223,MT,NGM
201.02781185088887,MT,NGM
152.27883245162178,MT,NGM
215.98901595472856,MT,NGM
166.60500867564707,MT,NGM
