meanspeed,medium,bacteria
184.19665086851035,DA,BL21
95.93949304920044,DA,BL21
103.72541073255383,DA,BL21
109.59440422159724,DA,BL21
128.03935806038862,DA,BL21
82.09859343647572,DA,BL21
179.59853112978647,DA,BL21
74.38974612238785,DA,BL21
93.64292084066854,DA,BL21
54.67784741959094,DA,BL21
203.15310940775018,DA,NGM
132.41480754317547,DA,NGM
247.27410307763955,DA,NGM
169.45048714951656,DA,NGM
270.54171771275594,DA,NGM
174.54170674454062,DA,NGM
285.65587064776423,DA,NGM
164.509958799394,M9,BL21
155.3915575469705,M9,BL21
189.031026743436,M9,BL21
211.9447625003797,M9,BL21
109.32558689131102,M9,BL21
126.6649454928392,M9,BL21
206.30689120008455,M9,NGM
264.42734991645585,M9,NGM
233.88657751854294,M9,NGM
217.22883996624697,M9,NGM
147.47438307266972,M9,NGM
145.16417724073295,M9,NGM
348.0372736528364,M9,NGM
171.6566189531321,M9,NGM
257.060932652507,M9,NGM
173.9285430846126,DA,BL21
115.83278354104458,DA,BL21
155.1617128853186,DA,BL21
167.97820024713718,DA,BL21
71.98179245802372,DA,BL21
127.08691148172267,DA,BL21
219.11305222709956,DA,NGM
239.61549873476852,DA,NGM
223.42236035940243,DA,NGM
250.27155419526827,DA,NGM
232.6354747403514,DA,NGM
175.72757447737638,DA,NGM
241.70713165896638,M9,BL21
228.72404935589844,M9,BL21
236.42564519409828,M9,BL21
238.79394864464194,M9,BL21
254.35797806004106,M9,BL21
205.09779419677253,M9,BL21
110.7264269043793,M9,BL21
214.1092477045898,M9,BL21
131.17830607289042,M9,BL21
111.04213550218287,M9,BL21
93.868233356551,M9,BL21
209.40248965981365,M9,NGM
275.67146285595896,M9,NGM
224.40499357556976,M9,NGM
83.51283822620022,M9,NGM
249.4400439864997,M9,NGM
144.506736353121,DA,BL21
199.53775357094972,DA,BL21
246.41394196333002,DA,BL21
94.59521037984918,DA,BL21
174.97441189494643,DA,BL21
214.1322642915891,DA,BL21
68.46988964984352,DA,BL21
89.98218375418219,DA,BL21
68.31684115642385,DA,BL21
77.9618898926214,DA,BL21
254.08419644324383,DA,NGM
293.0844059840354,DA,NGM
117.08174201483948,DA,NGM
233.09817564515006,DA,NGM
184.74641026024156,DA,NGM
217.36617501188223,DA,NGM
201.02781185088887,DA,NGM
152.27883245162178,DA,NGM
215.98901595472856,DA,NGM
166.60500867564707,DA,NGM
186.5999599892218,M9,BL21
195.67650440921955,M9,BL21
227.24001008378693,M9,BL21
66.76984372242745,M9,BL21
239.74590991942654,M9,NGM
303.9982159975773,M9,NGM
200.58211458708877,M9,NGM
244.5423814486905,M9,NGM
210.6154083875104,M9,NGM
170.46367622366424,M9,NGM
293.94108221255635,M9,NGM
227.47003089753935,M9,NGM
