meanspeed,medium,bacteria
94.87495891905301,DA,BL21
146.50664767903606,DA,BL21
89.3768290089247,DA,BL21
62.773628560428705,DA,BL21
74.4601453108228,DA,BL21
93.46292938174928,DA,BL21
98.26104999083445,DA,BL21
97.71713081710061,DA,BL21
278.4868563199879,DA,NGM
259.73867246675485,DA,NGM
188.75289293456638,DA,NGM
222.29107742918842,DA,NGM
70.16701736507244,M9,BL21
156.25409209804204,M9,BL21
118.21302299648606,M9,BL21
115.62662156281108,M9,BL21
48.45942841497861,M9,BL21
132.23769594150707,M9,BL21
93.36979355766752,M9,BL21
227.54911720647127,M9,NGM
328.0597349704001,M9,NGM
337.94174027532205,M9,NGM
300.9637551197133,M9,NGM
350.8091041441856,M9,NGM
311.8020621267609,M9,NGM
89.50795920440693,DA,BL21
99.8379577775398,DA,BL21
87.4881289515402,DA,BL21
78.22460093317632,DA,BL21
65.41614132034017,DA,BL21
131.78633862440194,DA,BL21
108.5627612020275,DA,BL21
115.7869885732573,DA,BL21
139.86524963497138,DA,BL21
162.40681776011164,DA,BL21
121.9614321812582,DA,BL21
154.00616297145618,DA,BL21
117.63290250370987,DA,BL21
307.7228277720262,DA,NGM
243.20492766022628,DA,NGM
261.80666709430045,DA,NGM
297.7833067881764,DA,NGM
175.1734733506949,DA,NGM
264.62071084721964,DA,NGM
234.0680426481393,DA,NGM
278.42813408153137,DA,NGM
259.6615282764401,DA,NGM
226.24610876401334,M9,BL21
76.47379018369267,M9,BL21
82.06450206793419,M9,BL21
67.34237377323323,M9,BL21
65.78137077226593,M9,BL21
67.01644826909731,M9,BL21
125.45306768376295,M9,BL21
55.52070353002944,M9,BL21
284.94449308531375,M9,NGM
248.2038194568186,M9,NGM
323.6341684388561,M9,NGM
235.95278562953442,M9,NGM
144.7176886293484,DA,BL21
150.88601164103736,DA,BL21
158.5458994222018,DA,BL21
132.88834317897792,DA,BL21
175.2204092467168,DA,BL21
182.90840587614014,DA,BL21
110.54015052882778,DA,BL21
101.35619907987508,DA,BL21
117.91586100575128,DA,BL21
134.74694560147012,DA,BL21
145.46790624302255,DA,BL21
260.9760398875488,DA,NGM
241.97125237778297,DA,NGM
249.40118486222488,DA,NGM
194.0521944291662,DA,NGM
216.72380625183467,DA,NGM
120.88658239221799,DA,NGM
226.9608240381267,DA,NGM
179.82695579026506,DA,NGM
197.43304532592464,M9,BL21
250.48774444395866,M9,BL21
167.65710007144034,M9,BL21
115.78299705508557,M9,BL21
147.1705775086074,M9,BL21
143.2236565599454,M9,BL21
110.88946102035423,M9,BL21
159.66326062180156,M9,BL21
119.48176127865675,M9,BL21
133.05375825333087,M9,BL21
123.926787942777,M9,BL21
274.3207894652543,M9,NGM
283.08156987652677,M9,NGM
256.30148142871286,M9,NGM
278.75796319779124,M9,NGM
340.93801940836545,M9,NGM
303.74253534641,M9,NGM
