experiment,id,track,meanspeed,n,medium,worm,bacteria
1,DA_N2_BL21,1,94.87495891905301,11,DA,N2,BL21
1,DA_N2_BL21,2,146.50664767903606,11,DA,N2,BL21
1,DA_N2_BL21,3,89.3768290089247,11,DA,N2,BL21
1,DA_N2_BL21,6,62.773628560428705,11,DA,N2,BL21
1,DA_N2_BL21,7,74.4601453108228,11,DA,N2,BL21
1,DA_N2_BL21,9,93.46292938174928,7,DA,N2,BL21
1,DA_N2_BL21,10,98.26104999083445,11,DA,N2,BL21
1,DA_N2_BL21,11,97.71713081710061,8,DA,N2,BL21
1,DA_N2_NGM,5,278.4868563199879,11,DA,N2,NGM
1,DA_N2_NGM,6,259.73867246675485,11,DA,N2,NGM
1,DA_N2_NGM,10,188.75289293456638,9,DA,N2,NGM
1,DA_N2_NGM,13,222.29107742918842,11,DA,N2,NGM
1,DA_CB_BL21,1,112.48880812871504,11,DA,CB,BL21
1,DA_CB_BL21,3,112.9837256070353,11,DA,CB,BL21
1,DA_CB_BL21,5,134.3434771554229,11,DA,CB,BL21
1,DA_CB_BL21,8,101.62903742882176,10,DA,CB,BL21
1,DA_CB_BL21,9,114.1652741908414,11,DA,CB,BL21
1,DA_CB_BL21,10,106.25338888875218,11,DA,CB,BL21
1,DA_CB_BL21,12,101.5009434068145,11,DA,CB,BL21
1,DA_CB_NGM,2,250.8558748048852,11,DA,CB,NGM
1,DA_CB_NGM,3,267.886567277416,11,DA,CB,NGM
1,DA_CB_NGM,4,242.31473004091475,8,DA,CB,NGM
1,DA_CB_NGM,5,269.4078549584376,11,DA,CB,NGM
1,DA_CB_NGM,6,243.7469657280074,11,DA,CB,NGM
1,DA_CB_NGM,8,237.90954858271627,11,DA,CB,NGM
1,DA_CB_NGM,9,277.7169609318966,8,DA,CB,NGM
1,DA_CB_NGM,10,214.99340786895576,11,DA,CB,NGM
1,DA_CB_NGM,11,242.21079573408963,11,DA,CB,NGM
1,DA_MT_BL21,1,184.19665086851035,11,DA,MT,BL21
1,DA_MT_BL21,2,95.93949304920044,11,DA,MT,BL21
1,DA_MT_BL21,3,103.72541073255383,11,DA,MT,BL21
1,DA_MT_BL21,4,109.59440422159724,11,DA,MT,BL21
1,DA_MT_BL21,6,128.03935806038862,9,DA,MT,BL21
1,DA_MT_BL21,7,82.09859343647572,11,DA,MT,BL21
1,DA_MT_BL21,8,179.59853112978647,9,DA,MT,BL21
1,DA_MT_BL21,10,74.38974612238785,11,DA,MT,BL21
