 ,Track,Length,Distance,#Frames,1stFrame,Time(s),MaxSpeed,Area,sdArea,Perim,sdPerim,avgSpeed,BLPS,avgX,avgY,Bends,BBPS
1,1,1.353,0.008,1575,0,63.000,0.142,0.045,0.001,1.263,0.079,0.021,0.034,7.622,1.376,0.000,0.000
2,2,1.591,0.003,1575,0,63.000,0.084,0.055,0.002,1.628,0.151,0.025,0.031,11.057,2.021,0.000,0.000
3,3,0.201,0.162,21,6,0.840,0.382,0.047,0.005,2.078,0.226,0.240,0.231,7.493,4.365,0.500,0.595
4,4,0.266,0.263,28,27,1.120,0.455,0.048,0.003,2.188,0.219,0.237,0.217,7.450,4.636,0.500,0.446
5,5,0.089,0.007,24,48,0.960,0.184,0.064,0.008,2.697,0.352,0.092,0.069,14.300,7.751,0.000,0.000
6,6,0.135,0.033,40,100,1.600,0.195,0.060,0.007,2.599,0.398,0.085,0.065,14.299,7.751,0.000,0.000
7,7,0.123,0.029,31,140,1.240,0.440,0.061,0.006,2.629,0.339,0.100,0.076,14.298,7.750,0.000,0.000
8,8,0.164,0.011,52,199,2.080,0.297,0.064,0.008,2.653,0.286,0.079,0.060,14.300,7.752,0.000,0.000
9,9,1.634,1.610,166,206,6.640,0.522,0.055,0.006,2.132,0.196,0.246,0.231,6.116,3.444,0.000,0.000
10,10,0.050,0.013,24,276,0.960,0.109,0.041,0.004,1.928,0.308,0.053,0.055,0.382,4.638,0.000,0.000
11,11,0.062,0.002,24,322,0.960,0.252,0.060,0.006,2.563,0.339,0.065,0.051,14.300,7.751,0.000,0.000
12,12,0.081,0.003,28,346,1.120,0.239,0.061,0.007,2.651,0.405,0.072,0.055,14.298,7.753,0.000,0.000
13,13,0.163,0.110,21,373,0.840,0.454,0.053,0.006,2.091,0.153,0.194,0.185,6.408,2.629,0.000,0.000
14,14,0.290,0.027,76,374,3.040,0.350,0.063,0.008,2.572,0.386,0.095,0.074,14.301,7.753,0.000,0.000
15,15,0.271,0.269,22,394,0.880,0.624,0.048,0.004,2.140,0.194,0.308,0.288,6.667,2.602,0.000,0.000
16,16,0.095,0.022,25,424,1.000,0.303,0.041,0.005,2.033,0.381,0.095,0.093,0.382,4.640,0.000,0.000
17,17,0.059,0.004,21,489,0.840,0.271,0.044,0.006,1.965,0.321,0.070,0.071,0.381,4.640,0.000,0.000
18,18,0.114,0.011,27,516,1.080,0.379,0.063,0.006,2.692,0.435,0.105,0.078,14.298,7.753,0.000,0.000
19,19,0.157,0.014,50,564,2.000,0.210,0.061,0.006,2.625,0.355,0.079,0.060,14.303,7.753,0.000,0.000
20,20,0.256,0.255,21,711,0.840,0.671,0.051,0.003,2.432,0.133,0.305,0.251,8.830,4.889,0.000,0.000
21,21,0.095,0.018,29,753,1.160,0.192,0.061,0.007,2.663,0.334,0.082,0.061,14.303,7.753,0.000,0.000
22,22,0.074,0.009,22,799,0.880,0.162,0.061,0.006,2.651,0.414,0.085,0.064,14.299,7.753,0.000,0.000
23,23,0.067,0.003,25,802,1.000,0.153,0.041,0.003,1.889,0.243,0.067,0.071,0.383,4.636,0.000,0.000
24,24,0.331,0.318,52,831,2.080,0.363,0.042,0.006,1.938,0.332,0.159,0.164,9.237,6.294,0.000,0.000
25,25,0.160,0.028,53,831,2.120,0.285,0.058,0.006,2.569,0.366,0.076,0.059,14.305,7.751,0.000,0.000
26,26,0.065,0.019,23,833,0.920,0.298,0.043,0.004,2.113,0.332,0.071,0.067,0.381,4.641,0.000,0.000
27,27,0.116,0.052,22,923,0.880,0.259,0.040,0.007,2.026,0.309,0.132,0.131,0.380,4.639,0.000,0.000
28,28,0.071,0.030,20,966,0.800,0.169,0.060,0.007,2.696,0.350,0.088,0.066,14.300,7.751,0.000,0.000
